Country,TotalCases,TotalDeaths,TotalRecovered,ActiveCases,Serious,Deaths1Mpop,TotalTests,Tests1Mpop,Population,NewCases,NewDeaths,NewRecovered,NewActive,LastUpdated
World,161080616,3345018.0,139849282,17886316,105218.0,429.1,,,,734907,13056.0,739229,-17378,2021-05-13 02:13:00+00:00
USA,33586136,597785.0,26620229,6368122,8707.0,1797.0,461476543.0,1387169.0,332674970.0,36021,839.0,62091,-26909,2021-05-13 02:13:00+00:00
India,23702832,258351.0,19728436,3716045,8944.0,186.0,307583991.0,221016.0,1391679242.0,361894,4126.0,345794,11974,2021-05-13 02:13:00+00:00
Brazil,15361686,428256.0,13924217,1009213,8318.0,2002.0,46970130.0,219630.0,213860730.0,76638,2545.0,77026,-2933,2021-05-13 02:13:00+00:00
France,5821668,107119.0,4960097,754452,4583.0,1638.0,79684856.0,1218458.0,65398090.0,21498,184.0,8352,12962,2021-05-13 02:13:00+00:00
Turkey,5072462,43821.0,4801291,227350,2827.0,515.0,50058648.0,588097.0,85119750.0,13029,232.0,35167,-22370,2021-05-13 02:13:00+00:00
Russia,4905059,114331.0,4518529,272199,2300.0,783.0,132100000.0,904866.0,145988463.0,8217,355.0,8614,-752,2021-05-13 02:13:00+00:00
UK,4441975,127640.0,4256103,58232,138.0,1872.0,167749070.0,2459905.0,68193314.0,2284,11.0,2736,-463,2021-05-13 02:13:00+00:00
Italy,4131078,123544.0,3655112,352422,1992.0,2046.0,61820196.0,1023766.0,60385062.0,7848,262.0,19023,-11437,2021-05-13 02:13:00+00:00
Spain,3592751,79208.0,3291156,222387,1991.0,1694.0,47213067.0,1009465.0,46770406.0,6418,108.0,7241,-931,2021-05-13 02:13:00+00:00
Germany,3558148,86009.0,3220300,251839,5049.0,1024.0,56836969.0,676510.0,84014947.0,13833,252.0,0,13581,2021-05-13 02:13:00+00:00
Argentina,3215572,68807.0,2869341,277424,5394.0,1510.0,12066534.0,264892.0,45552720.0,24475,496.0,14977,9002,2021-05-13 02:13:00+00:00
Colombia,3048719,79261.0,2859627,109831,6582.0,1544.0,15639108.0,304562.0,51349445.0,16993,490.0,11474,5029,2021-05-13 02:13:00+00:00
Poland,2842339,70679.0,2582519,189141,1859.0,1869.0,14960240.0,395660.0,37810825.0,4159,343.0,2274,1542,2021-05-13 02:13:00+00:00
Iran,2707761,75934.0,2162087,469740,5501.0,894.0,17480333.0,205852.0,84917119.0,16409,366.0,17890,-1847,2021-05-13 02:13:00+00:00
Mexico,2371483,219590.0,1893236,258657,4798.0,1688.0,6791913.0,52206.0,130098135.0,3090,267.0,2184,639,2021-05-13 02:13:00+00:00
Ukraine,2129073,46987.0,1797136,284950,177.0,1080.0,9682286.0,222547.0,43506626.0,0,0.0,0,0,2021-05-13 02:13:00+00:00
Peru,1865639,64898.0,1720665,80076,2670.0,1945.0,11832582.0,354624.0,33366534.0,7400,207.0,0,7193,2021-05-13 02:13:00+00:00
Indonesia,1728204,47617.0,1584878,95709,,173.0,15410887.0,55834.0,276011839.0,4608,152.0,4671,-215,2021-05-13 02:13:00+00:00
Czechia,1648667,29787.0,1586400,32480,345.0,2777.0,20529829.0,1914003.0,10726119.0,0,0.0,0,0,2021-05-13 02:13:00+00:00
South Africa,1602031,54968.0,1519734,27329,546.0,917.0,10968926.0,182963.0,59951541.0,2759,72.0,476,2211,2021-05-13 02:13:00+00:00
Netherlands,1577754,17399.0,1339941,220414,726.0,1013.0,13171698.0,767243.0,17167573.0,6356,16.0,6659,-319,2021-05-13 02:13:00+00:00
Canada,1305770,24766.0,1204328,76676,1327.0,651.0,33001128.0,867834.0,38027004.0,6198,52.0,7509,-1363,2021-05-13 02:13:00+00:00
Chile,1260448,27384.0,1199432,33632,3036.0,1422.0,13689304.0,710857.0,19257458.0,3902,28.0,5505,-1631,2021-05-13 02:13:00+00:00
Iraq,1127580,15855.0,1023584,88141,488.0,387.0,9781666.0,238602.0,40995731.0,4666,21.0,5417,-772,2021-05-13 02:13:00+00:00
Philippines,1118359,18714.0,1046431,53214,750.0,169.0,12416105.0,112024.0,110834638.0,4812,94.0,8256,-3538,2021-05-13 02:13:00+00:00
Romania,1068817,29233.0,1018642,20942,874.0,1528.0,8558927.0,447485.0,19126731.0,930,98.0,1595,-763,2021-05-13 02:13:00+00:00
Sweden,1027934,14267.0,862199,151468,373.0,1405.0,8798383.0,866536.0,10153515.0,6330,50.0,3420,2860,2021-05-13 02:13:00+00:00
Belgium,1020332,24609.0,897904,97819,710.0,2115.0,13061760.0,1122810.0,11633100.0,0,0.0,9358,-9358,2021-05-13 02:13:00+00:00
Pakistan,867438,19210.0,771692,76536,4707.0,86.0,12310875.0,54820.0,224570836.0,0,0.0,0,0,2021-05-13 02:13:00+00:00
Portugal,840493,16998.0,801621,21874,71.0,1671.0,11011029.0,1082588.0,10171028.0,485,4.0,315,166,2021-05-13 02:13:00+00:00
Israel,839030,6379.0,831826,825,71.0,694.0,14434897.0,1569422.0,9197590.0,30,1.0,88,-59,2021-05-13 02:13:00+00:00
Hungary,793784,28888.0,592440,172456,361.0,2997.0,5560617.0,576877.0,9639165.0,0,0.0,0,0,2021-05-13 02:13:00+00:00
Bangladesh,777397,12045.0,718249,47103,1120.0,73.0,5677222.0,34179.0,166101183.0,1140,40.0,2928,-1828,2021-05-13 02:13:00+00:00
Jordan,722336,9180.0,708854,4302,729.0,892.0,6893261.0,669880.0,10290291.0,483,29.0,1552,-1098,2021-05-13 02:13:00+00:00
Serbia,703497,6611.0,669310,27576,104.0,759.0,3964964.0,455379.0,8706962.0,1046,17.0,2366,-1337,2021-05-13 02:13:00+00:00
Switzerland,677210,10725.0,612471,54014,190.0,1231.0,7216520.0,828616.0,8709128.0,1539,4.0,5561,-4026,2021-05-13 02:13:00+00:00
Japan,651702,11064.0,568558,72080,1189.0,88.0,12700938.0,100688.0,126142014.0,5885,123.0,4430,1332,2021-05-13 02:13:00+00:00
Austria,633960,10428.0,609666,13866,344.0,1152.0,35383018.0,3909434.0,9050676.0,1194,15.0,1954,-775,2021-05-13 02:13:00+00:00
UAE,540646,1619.0,520882,18145,,162.0,46401225.0,4643302.0,9993152.0,1508,2.0,1477,29,2021-05-13 02:13:00+00:00
Lebanon,534388,7549.0,490305,36534,352.0,1110.0,4151385.0,610585.0,6799033.0,703,22.0,986,-305,2021-05-13 02:13:00+00:00
Morocco,514432,9088.0,501692,3652,108.0,244.0,6348840.0,170271.0,37286768.0,268,5.0,288,-25,2021-05-13 02:13:00+00:00
Malaysia,453222,1761.0,411360,40101,469.0,54.0,10257115.0,313458.0,32722476.0,4765,39.0,3124,1602,2021-05-13 02:13:00+00:00
Saudi Arabia,429389,7111.0,413010,9268,1352.0,202.0,17740919.0,502868.0,35279497.0,1020,13.0,908,99,2021-05-13 02:13:00+00:00
Nepal,422349,4252.0,316463,101634,,144.0,2693088.0,91024.0,29586485.0,9238,168.0,4444,4626,2021-05-13 02:13:00+00:00
Bulgaria,412814,17150.0,357149,38515,526.0,2484.0,2631255.0,381164.0,6903209.0,657,46.0,3530,-2919,2021-05-13 02:13:00+00:00
Ecuador,404632,19349.0,342878,42405,607.0,1083.0,1350957.0,75586.0,17873167.0,2037,63.0,0,1974,2021-05-13 02:13:00+00:00
Slovakia,386540,12096.0,369084,5360,242.0,2215.0,2740888.0,501817.0,5461924.0,404,19.0,663,-278,2021-05-13 02:13:00+00:00
Belarus,371405,2661.0,362112,6632,,282.0,6028936.0,638210.0,9446640.0,896,9.0,1196,-309,2021-05-13 02:13:00+00:00
Greece,369554,11211.0,333892,24451,707.0,1080.0,8645362.0,832962.0,10379054.0,2478,70.0,2073,335,2021-05-13 02:13:00+00:00
