Country,TotalCases,TotalDeaths,TotalRecovered,ActiveCases,Serious,Deaths1Mpop,TotalTests,Tests1Mpop,Population,NewCases,NewDeaths,NewRecovered,NewActive,LastUpdated
Lebanon,535954,7631.0,500872,27451,323.0,1122.0,4206316.0,618702.0,6798617.0,508,29.0,3674,-3195,2021-05-18 02:08:00+00:00
Morocco,515023,9104.0,503483,2436,95.0,244.0,6384989.0,171213.0,37292743.0,206,6.0,599,-399,2021-05-18 02:08:00+00:00
Malaysia,474556,1947.0,429103,43506,522.0,59.0,10573102.0,323058.0,32728141.0,8226,81.0,6774,1371,2021-05-18 02:08:00+00:00
Nepal,464218,5215.0,345523,113480,,176.0,2792673.0,94367.0,29593654.0,16514,359.0,12415,3740,2021-05-18 02:08:00+00:00
Saudi Arabia,433980,7174.0,418914,7892,1377.0,203.0,18032171.0,511016.0,35286908.0,1711,27.0,2155,-471,2021-05-18 02:08:00+00:00
Bulgaria,414869,17343.0,364682,32844,490.0,2513.0,2684714.0,388948.0,6902499.0,828,93.0,2355,-1620,2021-05-18 02:08:00+00:00
Ecuador,410870,19786.0,354499,36585,600.0,1107.0,1370618.0,76670.0,17876829.0,1350,94.0,11621,-10365,2021-05-18 02:08:00+00:00
Slovakia,387659,12238.0,370990,4431,192.0,2241.0,2765568.0,506333.0,5461960.0,239,35.0,438,-234,2021-05-18 02:08:00+00:00
Greece,378485,11471.0,340612,26402,647.0,1105.0,8879508.0,855579.0,10378362.0,2654,106.0,5456,-2908,2021-05-18 02:08:00+00:00
Belarus,377532,2711.0,367840,6981,,287.0,6105215.0,646287.0,9446598.0,2818,20.0,2585,213,2021-05-18 02:08:00+00:00
Panama,371145,6297.0,359481,5367,105.0,1440.0,2528006.0,577959.0,4374024.0,612,1.0,543,68,2021-05-18 02:08:00+00:00
Kazakhstan,360193,4073.0,317741,38379,221.0,215.0,10749824.0,566588.0,18972900.0,4548,34.0,4904,-390,2021-05-18 02:08:00+00:00
Croatia,350506,7738.0,337475,5293,173.0,1895.0,1929591.0,472587.0,4083037.0,596,51.0,2138,-1593,2021-05-18 02:08:00+00:00
Bolivia,332567,13517.0,271690,47360,200.0,1144.0,1309771.0,110884.0,11812036.0,2834,66.0,2402,366,2021-05-18 02:08:00+00:00
Georgia,330879,4469.0,310859,15551,,1122.0,4591316.0,1152887.0,3982451.0,1472,43.0,2941,-1512,2021-05-18 02:08:00+00:00
Azerbaijan,330269,4792.0,315415,10062,,469.0,3392930.0,332019.0,10219085.0,898,24.0,1637,-763,2021-05-18 02:08:00+00:00
Tunisia,327473,11899.0,288935,26639,445.0,998.0,1392064.0,116718.0,11926699.0,1641,120.0,1995,-474,2021-05-18 02:08:00+00:00
Paraguay,315547,7692.0,262336,45519,560.0,1067.0,1200299.0,166499.0,7209064.0,3801,158.0,3998,-355,2021-05-18 02:08:00+00:00
Palestine,304074,3437.0,293808,6829,66.0,660.0,1793407.0,344581.0,5204602.0,416,14.0,2617,-2215,2021-05-18 02:08:00+00:00
Kuwait,292490,1696.0,278824,11970,191.0,392.0,2467673.0,570469.0,4325689.0,1689,9.0,2032,-352,2021-05-18 02:08:00+00:00
Costa Rica,288626,3625.0,224354,60647,489.0,706.0,1093074.0,212876.0,5134790.0,5885,78.0,2451,3356,2021-05-18 02:08:00+00:00
Dominican Republic,277919,3589.0,234098,40232,294.0,328.0,1483386.0,135556.0,10942996.0,1647,20.0,667,960,2021-05-18 02:08:00+00:00
Denmark,267339,2503.0,251665,13171,29.0,431.0,47223277.0,8127838.0,5810066.0,1800,1.0,1408,391,2021-05-18 02:08:00+00:00
Ethiopia,266646,4008.0,220642,41996,569.0,34.0,2656382.0,22619.0,117440068.0,814,32.0,1776,-994,2021-05-18 02:08:00+00:00
Lithuania,266063,4112.0,240079,21872,178.0,1529.0,3111213.0,1157070.0,2688871.0,1339,24.0,377,938,2021-05-18 02:08:00+00:00
Ireland,256032,4941.0,238297,12794,42.0,991.0,4729538.0,948567.0,4985980.0,1162,0.0,1133,29,2021-05-18 02:08:00+00:00
Moldova,253954,6034.0,245031,2889,148.0,1499.0,1050325.0,260902.0,4025739.0,218,18.0,367,-167,2021-05-18 02:08:00+00:00
Slovenia,249424,4327.0,237630,7467,122.0,2081.0,1232247.0,592658.0,2079189.0,410,7.0,569,-166,2021-05-18 02:08:00+00:00
Egypt,246909,14388.0,182024,50497,90.0,138.0,2715258.0,26104.0,104016476.0,2389,119.0,1447,823,2021-05-18 02:08:00+00:00
Uruguay,242906,3521.0,212051,27334,495.0,1011.0,2016365.0,578704.0,3484274.0,4827,102.0,5381,-656,2021-05-18 02:08:00+00:00
Guatemala,241528,7893.0,222049,11586,5.0,434.0,1346074.0,73942.0,18204421.0,411,21.0,1513,-1123,2021-05-18 02:08:00+00:00
Honduras,226719,5960.0,82602,138157,536.0,594.0,679008.0,67617.0,10042033.0,1463,23.0,53,1387,2021-05-18 02:08:00+00:00
Armenia,220927,4333.0,208899,7695,,1460.0,1039050.0,350073.0,2968096.0,198,19.0,799,-620,2021-05-18 02:08:00+00:00
Venezuela,216415,2411.0,200381,13623,316.0,85.0,3359014.0,118420.0,28365252.0,3417,45.0,3622,-250,2021-05-18 02:08:00+00:00
Qatar,213485,532.0,207796,5157,196.0,189.0,1973886.0,703000.0,2807805.0,558,6.0,1489,-937,2021-05-18 02:08:00+00:00
Oman,206297,2206.0,191065,13026,238.0,423.0,1550000.0,296961.0,5219545.0,3584,58.0,4674,-1148,2021-05-18 02:08:00+00:00
Bahrain,202556,752.0,185619,16185,180.0,429.0,4374017.0,2495410.0,1752825.0,3463,15.0,3084,364,2021-05-18 02:08:00+00:00
Bosnia and Herzegovina,202490,9051.0,169455,23984,,2774.0,945559.0,289791.0,3262899.0,347,70.0,906,-629,2021-05-18 02:08:00+00:00
Libya,181714,3092.0,168378,10244,,445.0,986596.0,141898.0,6952869.0,535,7.0,749,-221,2021-05-18 02:08:00+00:00
Nigeria,165778,2067.0,156415,7296,11.0,10.0,2002653.0,9510.0,210582794.0,76,1.0,3,72,2021-05-18 02:08:00+00:00
Kenya,165537,3013.0,113874,48650,108.0,55.0,1746449.0,31868.0,54802355.0,158,12.0,385,-239,2021-05-18 02:08:00+00:00
North Macedonia,154725,5230.0,146043,3452,111.0,2510.0,757794.0,363747.0,2083299.0,89,33.0,437,-381,2021-05-18 02:08:00+00:00
Sri Lanka,145202,981.0,119629,24592,,46.0,3075321.0,143092.0,21491868.0,4731,40.0,2409,2282,2021-05-18 02:08:00+00:00
Myanmar,143097,3213.0,132123,7761,,59.0,2603024.0,47562.0,54728958.0,38,1.0,23,14,2021-05-18 02:08:00+00:00
S. Korea,132818,1904.0,122631,8283,156.0,37.0,9395004.0,183110.0,51307858.0,1757,8.0,1349,400,2021-05-18 02:08:00+00:00
Albania,132032,2435.0,125419,4178,18.0,847.0,677041.0,235489.0,2875041.0,54,6.0,2338,-2290,2021-05-18 02:08:00+00:00
Latvia,128125,2269.0,117799,8057,71.0,1215.0,2494618.0,1335546.0,1867864.0,528,12.0,1372,-856,2021-05-18 02:08:00+00:00
Estonia,127206,1223.0,118772,7211,32.0,921.0,1362651.0,1026621.0,1327317.0,284,3.0,219,62,2021-05-18 02:08:00+00:00
Cuba,125511,814.0,117749,6948,126.0,72.0,4015883.0,354743.0,11320554.0,2290,18.0,2244,28,2021-05-18 02:08:00+00:00
Algeria,125485,3381.0,87476,34628,28.0,76.0,230861.0,5183.0,44541312.0,291,15.0,225,51,2021-05-18 02:08:00+00:00
Norway,119500,774.0,88952,29774,21.0,142.0,5423294.0,993583.0,5458320.0,448,0.0,0,448,2021-05-18 02:08:00+00:00
Thailand,111082,614.0,67200,43268,1228.0,9.0,8124896.0,116147.0,69953419.0,11937,49.0,3533,8355,2021-05-18 02:08:00+00:00
Kyrgyzstan,100732,1711.0,93886,5135,85.0,259.0,1059935.0,160158.0,6618078.0,483,16.0,584,-117,2021-05-18 02:08:00+00:00
Montenegro,98898,1562.0,95999,1337,60.0,2487.0,395995.0,630429.0,628136.0,120,2.0,198,-80,2021-05-18 02:08:00+00:00
Uzbekistan,96893,670.0,92303,3920,23.0,20.0,1377915.0,40655.0,33892564.0,525,3.0,472,50,2021-05-18 02:08:00+00:00
Ghana,93333,783.0,91252,1298,8.0,25.0,1123985.0,35527.0,31637796.0,90,0.0,106,-16,2021-05-18 02:08:00+00:00
Zambia,92460,1261.0,90862,337,40.0,67.0,1474620.0,78307.0,18831181.0,51,1.0,85,-35,2021-05-18 02:08:00+00:00
China,90894,4636.0,85963,295,2.0,3.0,160000000.0,111163.0,1439323776.0,65,0.0,49,16,2021-05-18 02:08:00+00:00
Finland,90249,933.0,46000,43316,27.0,168.0,4766116.0,859028.0,5548263.0,371,2.0,0,369,2021-05-18 02:08:00+00:00
Cameroon,74946,1152.0,70497,3297,385.0,42.0,1518411.0,55988.0,27120494.0,0,0.0,0,0,2021-05-18 02:08:00+00:00
El Salvador,71479,2191.0,66903,2385,22.0,336.0,956458.0,146812.0,6514856.0,149,9.0,127,13,2021-05-18 02:08:00+00:00
Cyprus,71231,347.0,39061,31823,46.0,286.0,5943360.0,4891461.0,1215048.0,332,1.0,0,331,2021-05-18 02:08:00+00:00
Mozambique,70463,828.0,68731,904,21.0,26.0,537525.0,16789.0,32016074.0,53,2.0,21,30,2021-05-18 02:08:00+00:00
Luxembourg,69065,808.0,66183,2074,30.0,1273.0,2761206.0,4349308.0,634861.0,37,2.0,0,35,2021-05-18 02:08:00+00:00
Afghanistan,63819,2751.0,55010,6058,1124.0,69.0,432676.0,10901.0,39691394.0,335,9.0,347,-21,2021-05-18 02:08:00+00:00
Singapore,61613,31.0,61123,459,3.0,5.0,10441802.0,1772625.0,5890587.0,77,0.0,61,16,2021-05-18 02:08:00+00:00
Namibia,51390,723.0,48355,2312,66.0,280.0,411483.0,159427.0,2581017.0,441,18.0,409,14,2021-05-18 02:08:00+00:00
Botswana,50800,774.0,47477,2549,1.0,323.0,1105082.0,461800.0,2392987.0,1144,13.0,837,294,2021-05-18 02:08:00+00:00
Mongolia,49175,214.0,41844,7117,103.0,64.0,2833138.0,852240.0,3324342.0,1074,9.0,2280,-1215,2021-05-18 02:08:00+00:00
Jamaica,47396,863.0,23281,23252,23.0,290.0,355604.0,119632.0,2972484.0,163,20.0,268,-125,2021-05-18 02:08:00+00:00
Ivory Coast,46661,298.0,46115,248,,11.0,619741.0,22999.0,26946335.0,126,3.0,109,14,2021-05-18 02:08:00+00:00
Maldives,45956,101.0,28849,17006,90.0,184.0,798691.0,1455224.0,548844.0,2174,7.0,836,1331,2021-05-18 02:08:00+00:00
Uganda,42859,347.0,42429,83,24.0,7.0,1062412.0,22607.0,46994167.0,185,0.0,458,-273,2021-05-18 02:08:00+00:00
Senegal,40872,1127.0,39597,148,10.0,66.0,499075.0,29139.0,17127434.0,44,3.0,39,2,2021-05-18 02:08:00+00:00
Madagascar,40204,771.0,37945,1488,268.0,27.0,195878.0,6919.0,28309896.0,199,17.0,272,-90,2021-05-18 02:08:00+00:00
Zimbabwe,38572,1582.0,36349,641,12.0,105.0,447791.0,29750.0,15051761.0,18,0.0,31,-13,2021-05-18 02:08:00+00:00
Sudan,34272,2446.0,27949,3877,,55.0,232965.0,5207.0,44740073.0,0,0.0,0,0,2021-05-18 02:08:00+00:00
Malawi,34216,1153.0,32241,822,11.0,59.0,239237.0,12231.0,19559677.0,6,0.0,35,-29,2021-05-18 02:08:00+00:00
Angola,30787,677.0,25995,4115,22.0,20.0,527590.0,15631.0,33753337.0,433,22.0,292,119,2021-05-18 02:08:00+00:00
DRC,30609,776.0,26603,3230,,8.0,155288.0,1689.0,91924513.0,63,0.0,0,63,2021-05-18 02:08:00+00:00
Malta,30484,417.0,29920,147,,942.0,898798.0,2030847.0,442573.0,6,0.0,36,-30,2021-05-18 02:08:00+00:00
Australia,29983,910.0,28900,173,1.0,35.0,17581041.0,682537.0,25758366.0,21,0.0,14,7,2021-05-18 02:08:00+00:00
Cabo Verde,28281,251.0,25432,2598,23.0,447.0,158645.0,282657.0,561264.0,330,5.0,749,-424,2021-05-18 02:08:00+00:00
Rwanda,26215,345.0,24764,1106,2.0,26.0,1376065.0,104000.0,13231435.0,116,2.0,70,44,2021-05-18 02:08:00+00:00
Gabon,23909,145.0,20556,3208,16.0,64.0,772653.0,340162.0,2271426.0,110,2.0,177,-69,2021-05-18 02:08:00+00:00
Syria,23788,1705.0,21073,1010,,95.0,103566.0,5795.0,17870439.0,95,12.0,590,-507,2021-05-18 02:08:00+00:00
Guinea,22830,152.0,20421,2257,24.0,11.0,445243.0,33122.0,13442322.0,84,1.0,55,28,2021-05-18 02:08:00+00:00
Réunion,22644,169.0,21603,872,36.0,188.0,102720.0,114019.0,900902.0,0,0.0,0,0,2021-05-18 02:08:00+00:00
Cambodia,22544,154.0,13006,9384,,9.0,1079873.0,63819.0,16920960.0,710,7.0,2266,-1563,2021-05-18 02:08:00+00:00
French Guiana,21845,109.0,9995,11741,25.0,357.0,238822.0,781967.0,305412.0,380,1.0,0,379,2021-05-18 02:08:00+00:00
Mayotte,20176,171.0,2964,17041,6.0,614.0,176919.0,635163.0,278541.0,0,0.0,0,0,2021-05-18 02:08:00+00:00
Mauritania,18858,457.0,18133,268,14.0,96.0,250574.0,52687.0,4755887.0,52,0.0,77,-25,2021-05-18 02:08:00+00:00
French Polynesia,18816,141.0,18656,19,1.0,499.0,26355.0,93349.0,282329.0,1,0.0,6,-5,2021-05-18 02:08:00+00:00
Eswatini,18523,672.0,17803,48,3.0,574.0,201525.0,172146.0,1170663.0,4,1.0,4,-1,2021-05-18 02:08:00+00:00
Trinidad and Tobago,16549,294.0,10370,5885,15.0,209.0,153997.0,109727.0,1403457.0,650,18.0,305,327,2021-05-18 02:08:00+00:00
Guadeloupe,16017,221.0,2242,13554,33.0,552.0,195404.0,488285.0,400184.0,0,0.0,0,0,2021-05-18 02:08:00+00:00
Guyana,15352,344.0,13085,1923,15.0,436.0,137730.0,174369.0,789875.0,184,6.0,199,-21,2021-05-18 02:08:00+00:00
Somalia,14486,753.0,6325,7408,,46.0,120132.0,7380.0,16278398.0,0,0.0,0,0,2021-05-18 02:08:00+00:00
Mali,14194,511.0,9290,4393,,25.0,284837.0,13722.0,20757350.0,18,0.0,112,-94,2021-05-18 02:08:00+00:00
Papua New Guinea,13707,136.0,11034,2537,,15.0,110286.0,12126.0,9094720.0,0,0.0,0,0,2021-05-18 02:08:00+00:00
Andorra,13555,127.0,13211,217,12.0,1641.0,193595.0,2502100.0,77373.0,45,0.0,56,-11,2021-05-18 02:08:00+00:00
Haiti,13460,271.0,12435,754,,24.0,60085.0,5214.0,11523943.0,107,0.0,21,86,2021-05-18 02:08:00+00:00
Burkina Faso,13397,164.0,13199,34,,8.0,184102.0,8602.0,21401270.0,2,0.0,0,2,2021-05-18 02:08:00+00:00
Tajikistan,13308,90.0,13218,0,,9.0,,,9724098.0,0,0.0,0,0,2021-05-18 02:08:00+00:00
Togo,13279,125.0,11901,1253,,15.0,323813.0,38332.0,8447543.0,14,0.0,19,-5,2021-05-18 02:08:00+00:00
Belize,12742,323.0,12342,77,1.0,800.0,126061.0,312094.0,403920.0,28,0.0,5,23,2021-05-18 02:08:00+00:00
Curaçao,12256,120.0,12069,67,18.0,729.0,104049.0,631822.0,164681.0,7,1.0,4,2,2021-05-18 02:08:00+00:00
Suriname,12107,230.0,10325,1552,29.0,389.0,56137.0,94950.0,591228.0,279,6.0,141,132,2021-05-18 02:08:00+00:00
Hong Kong,11826,210.0,11531,85,2.0,28.0,14841321.0,1965692.0,7550178.0,4,0.0,9,-5,2021-05-18 02:08:00+00:00
Martinique,11736,90.0,98,11548,24.0,240.0,170302.0,454127.0,375010.0,0,0.0,0,0,2021-05-18 02:08:00+00:00
