Country,TotalCases,TotalDeaths,TotalRecovered,ActiveCases,Serious,Deaths1Mpop,TotalTests,Tests1Mpop,Population,NewCases,NewDeaths,NewRecovered,NewActive,LastUpdated
World,158997599,3307742.0,137469197,18220660,106963.0,424.4,,,,883786,16046.0,1048270,-180530,2021-05-10 09:47:00+00:00
USA,33476781,595812.0,26439712,6441257,8977.0,1791.0,458168303.0,1377291.0,332659090.0,53543,831.0,114405,-61693,2021-05-10 09:47:00+00:00
India,22662575,246146.0,18671222,3745207,8944.0,177.0,303750077.0,218279.0,1391568121.0,391045,4117.0,381089,5839,2021-05-10 09:47:00+00:00
Brazil,15184790,422418.0,13714135,1048237,8318.0,1975.0,46834128.0,219006.0,213848364.0,97430,3025.0,73657,20748,2021-05-10 09:47:00+00:00
France,5777087,106392.0,4874109,796586,4971.0,1627.0,79015258.0,1208241.0,65396910.0,9128,115.0,40952,-31939,2021-05-10 09:47:00+00:00
Turkey,5031332,43029.0,4716918,271385,3081.0,506.0,49390141.0,580294.0,85112315.0,15191,283.0,25694,-10786,2021-05-10 09:47:00+00:00
Russia,4888727,113647.0,4502906,272174,2300.0,778.0,131400000.0,900074.0,145987952.0,16884,655.0,14291,1938,2021-05-10 09:47:00+00:00
UK,4434860,127605.0,4248211,59044,163.0,1871.0,163171777.0,2392885.0,68190397.0,1770,2.0,2467,-699,2021-05-10 09:47:00+00:00
Italy,4111210,122833.0,3604523,383854,2192.0,2034.0,61097024.0,1011778.0,60385788.0,8289,139.0,14416,-6266,2021-05-10 09:47:00+00:00
Spain,3567408,78792.0,3248010,240606,2183.0,1685.0,47213067.0,1009468.0,46770258.0,0,0.0,0,0,2021-05-10 09:47:00+00:00
Germany,3527540,85371.0,3175600,266569,5049.0,1016.0,56836969.0,676528.0,84012757.0,17034,187.0,28500,-11653,2021-05-10 09:47:00+00:00
Argentina,3147740,67325.0,2817165,263250,5294.0,1478.0,11821485.0,259532.0,45549324.0,29606,453.0,39263,-10110,2021-05-10 09:47:00+00:00
Colombia,3002758,77854.0,2819874,105030,6006.0,1516.0,15436162.0,300636.0,51345002.0,34132,987.0,31123,2022,2021-05-10 09:47:00+00:00
Poland,2835083,70034.0,2576034,189015,2083.0,1852.0,14794397.0,391271.0,37811163.0,5887,168.0,12955,-7236,2021-05-10 09:47:00+00:00
Iran,2654811,74910.0,2109702,470199,5538.0,882.0,17069126.0,201030.0,84908308.0,14141,386.0,17321,-3566,2021-05-10 09:47:00+00:00
Mexico,2365792,218985.0,1886233,260574,4798.0,1683.0,6757360.0,51945.0,130087038.0,3918,328.0,4415,-825,2021-05-10 09:47:00+00:00
Ukraine,2122327,46512.0,1768753,307062,177.0,1069.0,9655779.0,221927.0,43508768.0,8189,312.0,18183,-10306,2021-05-10 09:47:00+00:00
Peru,1850290,64103.0,1720665,65522,2669.0,1921.0,11682182.0,350156.0,33362768.0,10825,584.0,0,10241,2021-05-10 09:47:00+00:00
Indonesia,1718575,47218.0,1574615,96742,,171.0,15272213.0,55336.0,275988146.0,8813,376.0,10698,-2261,2021-05-10 09:47:00+00:00
Czechia,1645448,29711.0,1580939,34798,363.0,2770.0,19988974.0,1863608.0,10725956.0,1113,64.0,5540,-4491,2021-05-10 09:47:00+00:00
South Africa,1596595,54735.0,1516256,25604,546.0,913.0,10887709.0,181627.0,59945412.0,4269,48.0,3054,1167,2021-05-10 09:47:00+00:00
Netherlands,1560022,17323.0,1317448,225251,758.0,1009.0,12762141.0,743400.0,17167263.0,6553,4.0,7602,-1053,2021-05-10 09:47:00+00:00
Canada,1286666,24626.0,1181251,80789,1331.0,648.0,32642733.0,858470.0,38024294.0,9675,65.0,9200,410,2021-05-10 09:47:00+00:00
Chile,1247469,27218.0,1183155,37096,3147.0,1413.0,13557153.0,704044.0,19256115.0,5493,117.0,5813,-437,2021-05-10 09:47:00+00:00
Iraq,1112725,15771.0,1005369,91585,543.0,385.0,9673212.0,235999.0,40988315.0,8775,69.0,12946,-4240,2021-05-10 09:47:00+00:00
Philippines,1101990,18472.0,1022224,61294,750.0,167.0,12287489.0,110875.0,110822682.0,7141,203.0,9020,-2082,2021-05-10 09:47:00+00:00
