Country,TotalCases,TotalDeaths,TotalRecovered,ActiveCases,Serious,Deaths1Mpop,TotalTests,Tests1Mpop,Population,NewCases,NewDeaths,NewRecovered,NewActive,LastUpdated
World,162538008,3371426.0,141466876,17699706,103617.0,432.5,,,,1457392,26408.0,1617594,-186610,2021-05-15 04:08:00+00:00
USA,33664013,599314.0,26712821,6351878,8346.0,1801.0,464099542.0,1395010.0,332685557.0,77877,1529.0,92592,-16244,2021-05-15 04:08:00+00:00
India,24372907,266229.0,20432898,3673780,8944.0,191.0,313017193.0,224909.0,1391753322.0,670075,7878.0,704462,-42265,2021-05-15 04:08:00+00:00
Brazil,15521313,432785.0,14028355,1060173,8318.0,2024.0,46970130.0,219621.0,213868974.0,159627,4529.0,104138,50960,2021-05-15 04:08:00+00:00
France,5848154,107423.0,5042411,698320,4352.0,1643.0,80698552.0,1233944.0,65398877.0,26486,304.0,82314,-56132,2021-05-15 04:08:00+00:00
Turkey,5095390,44301.0,4894024,157065,2670.0,520.0,50463016.0,592813.0,85124706.0,22928,480.0,92733,-70285,2021-05-15 04:08:00+00:00
Russia,4922901,115116.0,4537634,270151,2300.0,789.0,132700000.0,908974.0,145988804.0,17842,785.0,19105,-2048,2021-05-15 04:08:00+00:00
UK,4446824,127668.0,4273441,45715,129.0,1872.0,169007195.0,2478284.0,68195259.0,4849,28.0,17338,-12517,2021-05-15 04:08:00+00:00
Italy,4146722,123927.0,3683189,339606,1860.0,2052.0,62405408.0,1033466.0,60384578.0,15644,383.0,28077,-12816,2021-05-15 04:08:00+00:00
Spain,3604799,79339.0,3297340,228120,1899.0,1696.0,47213067.0,1009462.0,46770505.0,12048,131.0,6184,5733,2021-05-15 04:08:00+00:00
Germany,3585891,86481.0,3259000,240410,4376.0,1029.0,58093759.0,691457.0,84016407.0,27743,472.0,38700,-11429,2021-05-15 04:08:00+00:00
Argentina,3269466,69853.0,2913144,286469,5457.0,1533.0,12224943.0,268356.0,45554984.0,53894,1046.0,43803,9045,2021-05-15 04:08:00+00:00
Colombia,3084460,80250.0,2888990,115220,6582.0,1563.0,15783446.0,307356.0,51352407.0,35741,989.0,29363,5389,2021-05-15 04:08:00+00:00
Poland,2849014,71311.0,2589277,188426,1690.0,1886.0,15078062.0,398779.0,37810599.0,6675,632.0,6758,-715,2021-05-15 04:08:00+00:00
Iran,2732152,76433.0,2196197,459522,5468.0,900.0,17750149.0,209015.0,84922994.0,24391,499.0,34110,-10218,2021-05-15 04:08:00+00:00
Mexico,2377995,220159.0,1897587,260249,4798.0,1692.0,6829477.0,52492.0,130105532.0,6512,569.0,4351,1592,2021-05-15 04:08:00+00:00
Ukraine,2143448,47620.0,1832601,263227,177.0,1095.0,9790291.0,225037.0,43505197.0,14375,633.0,35465,-21723,2021-05-15 04:08:00+00:00
Peru,1879049,65608.0,1720665,92776,2685.0,1966.0,11972376.0,358787.0,33369044.0,13410,710.0,0,12700,2021-05-15 04:08:00+00:00
Indonesia,1734285,47823.0,1592886,93576,,173.0,15410887.0,55831.0,276027635.0,6081,206.0,8008,-2133,2021-05-15 04:08:00+00:00
Czechia,1651178,29857.0,1588346,32975,319.0,2784.0,21004062.0,1958197.0,10726227.0,2511,70.0,1946,495,2021-05-15 04:08:00+00:00
South Africa,1608393,55124.0,1522165,31104,546.0,919.0,11052993.0,184353.0,59955627.0,6362,156.0,2431,3775,2021-05-15 04:08:00+00:00
Netherlands,1589282,17423.0,1351988,219871,722.0,1015.0,13171698.0,767234.0,17167780.0,11528,24.0,12047,-543,2021-05-15 04:08:00+00:00
Canada,1318405,24869.0,1220110,73426,1327.0,654.0,33260624.0,874616.0,38028810.0,12635,103.0,15782,-3250,2021-05-15 04:08:00+00:00
Chile,1273516,27647.0,1208396,37473,2976.0,1436.0,13816198.0,717413.0,19258354.0,13068,263.0,8964,3841,2021-05-15 04:08:00+00:00
Iraq,1134859,15910.0,1034396,84553,457.0,388.0,9840649.0,240012.0,41000676.0,7279,55.0,10812,-3588,2021-05-15 04:08:00+00:00
Philippines,1131467,18958.0,1053523,58986,1819.0,171.0,12529921.0,113042.0,110842608.0,13108,244.0,7092,5772,2021-05-15 04:08:00+00:00
Romania,1070605,29413.0,1022029,19163,809.0,1538.0,8626765.0,451048.0,19126034.0,1788,180.0,3387,-1779,2021-05-15 04:08:00+00:00
Sweden,1037126,14275.0,878153,144698,341.0,1406.0,8798383.0,866506.0,10153859.0,9192,8.0,15954,-6770,2021-05-15 04:08:00+00:00
Belgium,1028104,24664.0,905973,97467,644.0,2120.0,13210753.0,1135591.0,11633375.0,7772,55.0,8069,-352,2021-05-15 04:08:00+00:00
Pakistan,873220,19384.0,780438,73398,4330.0,86.0,12380676.0,55125.0,224594312.0,5782,174.0,8746,-3138,2021-05-15 04:08:00+00:00
Portugal,841379,16999.0,802285,22095,72.0,1671.0,11091313.0,1090498.0,10170866.0,886,1.0,664,221,2021-05-15 04:08:00+00:00
Israel,839079,6380.0,831950,749,73.0,694.0,14487253.0,1575114.0,9197590.0,49,1.0,124,-76,2021-05-15 04:08:00+00:00
Hungary,796390,29041.0,608891,158458,338.0,3013.0,5607336.0,581732.0,9639032.0,2606,153.0,16451,-13998,2021-05-15 04:08:00+00:00
Bangladesh,779535,12102.0,720471,46962,1149.0,73.0,5698528.0,34306.0,166110142.0,2138,57.0,2222,-141,2021-05-15 04:08:00+00:00
Jordan,723069,9224.0,710445,3400,729.0,896.0,6912958.0,671758.0,10290844.0,733,44.0,1591,-902,2021-05-15 04:08:00+00:00
Serbia,705185,6646.0,673038,25501,101.0,763.0,3989567.0,458214.0,8706771.0,1688,35.0,3728,-2075,2021-05-15 04:08:00+00:00
Switzerland,679510,10730.0,617283,51497,179.0,1232.0,7273942.0,835176.0,8709474.0,2300,5.0,4812,-2517,2021-05-15 04:08:00+00:00
Japan,665547,11255.0,579446,74846,1209.0,89.0,12913954.0,102378.0,126139908.0,13845,191.0,10888,2766,2021-05-15 04:08:00+00:00
Austria,635780,10455.0,612523,12802,322.0,1155.0,35939913.0,3970842.0,9050956.0,1820,27.0,2857,-1064,2021-05-15 04:08:00+00:00
UAE,543610,1626.0,523778,18206,,163.0,46799807.0,4682882.0,9993805.0,2964,7.0,2896,61,2021-05-15 04:08:00+00:00
Lebanon,534968,7569.0,492270,35129,333.0,1113.0,4163257.0,612346.0,6798866.0,580,20.0,1965,-1405,2021-05-15 04:08:00+00:00
Morocco,514705,9092.0,502604,3009,94.0,244.0,6370615.0,170844.0,37289158.0,273,4.0,912,-643,2021-05-15 04:08:00+00:00
Malaysia,462190,1822.0,418897,41471,482.0,56.0,10397529.0,317727.0,32724742.0,8968,61.0,7537,1370,2021-05-15 04:08:00+00:00
Nepal,439658,4669.0,327653,107336,,158.0,2733510.0,92382.0,29589353.0,17309,417.0,11190,5702,2021-05-15 04:08:00+00:00
Saudi Arabia,431432,7134.0,415747,8551,1323.0,202.0,17868871.0,506452.0,35282461.0,2043,23.0,2737,-717,2021-05-15 04:08:00+00:00
Bulgaria,413838,17243.0,361993,34602,504.0,2498.0,2656622.0,384855.0,6902925.0,1024,93.0,4844,-3913,2021-05-15 04:08:00+00:00
Ecuador,407002,19514.0,342878,44610,572.0,1092.0,1359491.0,76057.0,17874632.0,2370,165.0,0,2205,2021-05-15 04:08:00+00:00
Slovakia,387162,12168.0,370043,4951,214.0,2228.0,2752948.0,504024.0,5461938.0,622,72.0,959,-409,2021-05-15 04:08:00+00:00
Greece,373881,11322.0,335156,27403,677.0,1091.0,8772810.0,845264.0,10378778.0,4327,111.0,1264,2952,2021-05-15 04:08:00+00:00
Belarus,373351,2681.0,363873,6797,,284.0,6050830.0,640528.0,9446623.0,1946,20.0,1761,165,2021-05-15 04:08:00+00:00
Panama,370043,6292.0,358670,5081,105.0,1439.0,2507280.0,573293.0,4373467.0,1113,7.0,626,480,2021-05-15 04:08:00+00:00
Kazakhstan,355645,4039.0,312837,38769,221.0,213.0,10749824.0,566643.0,18971060.0,7337,75.0,8164,-902,2021-05-15 04:08:00+00:00
Croatia,349084,7664.0,334206,7214,207.0,1877.0,1912994.0,468499.0,4083243.0,1990,75.0,2818,-903,2021-05-15 04:08:00+00:00
Azerbaijan,328994,4754.0,312460,11780,,465.0,3368394.0,329642.0,10218336.0,835,28.0,2689,-1882,2021-05-15 04:08:00+00:00
Georgia,327831,4397.0,307334,16100,,1104.0,4511631.0,1132860.0,3982513.0,2166,34.0,2399,-267,2021-05-15 04:08:00+00:00
Bolivia,327224,13409.0,267973,45842,158.0,1135.0,1287762.0,109033.0,11810731.0,4646,101.0,2956,1589,2021-05-15 04:08:00+00:00
Tunisia,325280,11727.0,286230,27323,445.0,983.0,1380132.0,115728.0,11925686.0,1177,90.0,2960,-1873,2021-05-15 04:08:00+00:00
Paraguay,309638,7482.0,256345,45811,590.0,1038.0,1182111.0,163992.0,7208345.0,4749,124.0,3920,705,2021-05-15 04:08:00+00:00
Palestine,303270,3401.0,288891,10978,78.0,654.0,1784690.0,342970.0,5203627.0,0,0.0,0,0,2021-05-15 04:08:00+00:00
Kuwait,290006,1681.0,275745,12580,190.0,389.0,2446116.0,565554.0,4325171.0,1822,12.0,2456,-646,2021-05-15 04:08:00+00:00
Costa Rica,282741,3547.0,221903,57291,489.0,691.0,1093074.0,212892.0,5134409.0,5854,65.0,4219,1570,2021-05-15 04:08:00+00:00
Dominican Republic,275378,3565.0,232925,38888,275.0,326.0,1468228.0,134181.0,10942105.0,1881,11.0,544,1326,2021-05-15 04:08:00+00:00
Ethiopia,265413,3964.0,217370,44079,620.0,34.0,2644565.0,22523.0,117416656.0,1046,26.0,2562,-1542,2021-05-15 04:08:00+00:00
Denmark,264465,2499.0,249487,12479,33.0,430.0,45701715.0,7866179.0,5809900.0,2306,0.0,1632,674,2021-05-15 04:08:00+00:00
Lithuania,263475,4084.0,237431,21960,158.0,1519.0,3074012.0,1143104.0,2689180.0,2347,25.0,2166,156,2021-05-15 04:08:00+00:00
Ireland,254870,4941.0,237164,12765,39.0,991.0,4729538.0,948653.0,4985528.0,857,4.0,771,82,2021-05-15 04:08:00+00:00
Moldova,253567,6006.0,244487,3074,160.0,1492.0,1040432.0,258440.0,4025815.0,394,25.0,414,-45,2021-05-15 04:08:00+00:00
Slovenia,248520,4314.0,236049,8157,125.0,2075.0,1224095.0,588738.0,2079186.0,1071,10.0,1860,-799,2021-05-15 04:08:00+00:00
