Country,TotalCases,TotalDeaths,TotalRecovered,ActiveCases,Serious,Deaths1Mpop,TotalTests,Tests1Mpop,Population,NewCases,NewDeaths,NewRecovered,NewActive,LastUpdated
World,158113813,3291696.0,136420927,18401190,107769.0,422.3,,,,1416980,22035.0,1531474,-136529,2021-05-08 18:16:00+00:00
USA,33423238,594981.0,26325307,6502950,9137.0,1789.0,456065435.0,1371013.0,332648503.0,54046,975.0,219896,-166825,2021-05-08 18:16:00+00:00
India,22271530,242029.0,18290133,3739368,8944.0,174.0,300410043.0,215890.0,1391494040.0,786245,7958.0,692723,85564,2021-05-08 18:16:00+00:00
Brazil,15087360,419393.0,13640478,1027489,8318.0,1961.0,46616516.0,217997.0,213840120.0,78337,2217.0,49143,26977,2021-05-08 18:16:00+00:00
France,5767959,106277.0,4833157,828525,5005.0,1625.0,78568784.0,1201429.0,65396123.0,39869,427.0,46403,-6961,2021-05-08 18:16:00+00:00
Turkey,5016141,42746.0,4691224,282171,3175.0,502.0,49192673.0,578007.0,85107359.0,38159,559.0,64425,-26825,2021-05-08 18:16:00+00:00
Russia,4871843,112992.0,4488615,270236,2300.0,774.0,131100000.0,898021.0,145987611.0,16715,746.0,16277,-308,2021-05-08 18:16:00+00:00
UK,4433090,127603.0,4245744,59743,163.0,1871.0,163171777.0,2392953.0,68188452.0,4537,20.0,5269,-752,2021-05-08 18:16:00+00:00
Italy,4102921,122694.0,3590107,390120,2211.0,2032.0,60871018.0,1008027.0,60386272.0,20723,431.0,32974,-12682,2021-05-08 18:16:00+00:00
Spain,3567408,78792.0,3248010,240606,2183.0,1685.0,47213067.0,1009470.0,46770160.0,8186,66.0,8628,-508,2021-05-08 18:16:00+00:00
Germany,3510506,85184.0,3147100,278222,5049.0,1014.0,56836969.0,676540.0,84011297.0,24044,373.0,18300,5371,2021-05-08 18:16:00+00:00
Argentina,3118134,66872.0,2777902,273360,5268.0,1468.0,11683923.0,256524.0,45547060.0,22552,609.0,20672,1271,2021-05-08 18:16:00+00:00
Colombia,2968626,76867.0,2788751,103008,6006.0,1497.0,15283737.0,297685.0,51342040.0,17525,453.0,15531,1541,2021-05-08 18:16:00+00:00
Poland,2829196,69866.0,2563079,196251,2157.0,1848.0,14678781.0,388211.0,37811389.0,10818,873.0,16328,-6383,2021-05-08 18:16:00+00:00
Iran,2640670,74524.0,2092381,473765,5545.0,878.0,16929609.0,199401.0,84902433.0,30652,618.0,34689,-4655,2021-05-08 18:16:00+00:00
Mexico,2361874,218657.0,1881818,261399,4798.0,1681.0,6734249.0,51770.0,130079641.0,3043,484.0,2105,454,2021-05-08 18:16:00+00:00
Ukraine,2114138,46200.0,1750570,317368,177.0,1062.0,9594857.0,220520.0,43510196.0,17114,749.0,38861,-22496,2021-05-08 18:16:00+00:00
Peru,1839465,63519.0,1720665,55281,2666.0,1904.0,11555688.0,346391.0,33360257.0,6794,296.0,0,6498,2021-05-08 18:16:00+00:00
Indonesia,1709762,46842.0,1563917,99003,,170.0,15173829.0,54983.0,275972350.0,12457,346.0,11385,726,2021-05-08 18:16:00+00:00
Czechia,1644335,29647.0,1575399,39289,386.0,2764.0,19804403.0,1846418.0,10725848.0,3215,126.0,5537,-2448,2021-05-08 18:16:00+00:00
South Africa,1592326,54687.0,1513202,24437,546.0,912.0,10831738.0,180706.0,59941326.0,1956,67.0,1297,592,2021-05-08 18:16:00+00:00
Netherlands,1553469,17319.0,1309846,226304,771.0,1009.0,12762141.0,743409.0,17167057.0,14880,50.0,14108,722,2021-05-08 18:16:00+00:00
Canada,1276991,24561.0,1172051,80379,1331.0,646.0,32408919.0,852362.0,38022488.0,11671,72.0,12545,-946,2021-05-08 18:16:00+00:00
Chile,1241976,27101.0,1177342,37533,3138.0,1407.0,13495109.0,700855.0,19255219.0,12728,206.0,11115,1407,2021-05-08 18:16:00+00:00
Iraq,1103950,15702.0,992423,95825,533.0,383.0,9606567.0,234402.0,40983371.0,5763,29.0,6289,-555,2021-05-08 18:16:00+00:00
Philippines,1094849,18269.0,1013204,63376,750.0,165.0,12239858.0,110453.0,110814711.0,14677,278.0,14193,206,2021-05-08 18:16:00+00:00
Romania,1065254,28903.0,1011694,24657,1026.0,1511.0,8456983.0,442115.0,19128475.0,2727,193.0,6071,-3537,2021-05-08 18:16:00+00:00
Belgium,1010987,24483.0,880229,106275,744.0,2105.0,12885085.0,1107688.0,11632413.0,3723,39.0,1671,2013,2021-05-08 18:16:00+00:00
Sweden,1007792,14173.0,835422,158197,403.0,1396.0,8798383.0,866609.0,10152657.0,5671,15.0,7818,-2162,2021-05-08 18:16:00+00:00
Pakistan,854240,18797.0,752712,82731,4986.0,84.0,12149935.0,54117.0,224512144.0,8407,260.0,9588,-1441,2021-05-08 18:16:00+00:00
