Country,TotalCases,TotalDeaths,TotalRecovered,ActiveCases,Serious,Deaths1Mpop,TotalTests,Tests1Mpop,Population,NewCases,NewDeaths,NewRecovered,NewActive,LastUpdated
World,154227689,3228046.0,132388552,18611091,111373.0,414.1,,,,726955.0,11628.0,855929.0,-140602.0,2021-05-04 09:32:00+00:00
USA,33230992,591514.0,25908684,6730794,9427.0,1778.0,450287188.0,1353729.0,332627330.0,50551.0,452.0,84884.0,-34785.0,2021-05-04 09:32:00+00:00
India,20282833,222408.0,16613292,3447133,8944.0,160.0,293310779.0,210811.0,1391345879.0,357229.0,3449.0,320289.0,33491.0,2021-05-04 09:32:00+00:00
Brazil,14791434,408829.0,13336476,1046129,8318.0,1912.0,46439030.0,217184.0,213823632.0,36524.0,1054.0,57758.0,-22288.0,2021-05-04 09:32:00+00:00
France,5656007,105130.0,4656418,894459,5630.0,1608.0,77161949.0,1179945.0,65394549.0,3760.0,311.0,19478.0,-16029.0,2021-05-04 09:32:00+00:00
Turkey,4900121,41191.0,4515819,343111,3438.0,484.0,47987986.0,563918.0,85097446.0,24733.0,347.0,35438.0,-11052.0,2021-05-04 09:32:00+00:00
Russia,4839514,111535.0,4457044,270935,2300.0,764.0,130200000.0,891861.0,145986929.0,16259.0,673.0,13122.0,2464.0,2021-05-04 09:32:00+00:00
UK,4421850,127539.0,4231750,62561,185.0,1870.0,156302824.0,2292349.0,68184563.0,1649.0,1.0,10168.0,-8520.0,2021-05-04 09:32:00+00:00
Italy,4050708,121433.0,3505717,423558,2490.0,2011.0,59236655.0,980947.0,60387240.0,5946.0,256.0,13038.0,-7348.0,2021-05-04 09:32:00+00:00
Spain,3540430,78293.0,3222697,239440,2323.0,1674.0,47213067.0,1009474.0,46769962.0,16353.0,77.0,16424.0,-148.0,2021-05-04 09:32:00+00:00
Germany,3435877,84020.0,3061500,290357,5049.0,1000.0,55490413.0,660534.0,84008377.0,10279.0,194.0,20800.0,-10715.0,2021-05-04 09:32:00+00:00
Argentina,3021179,64792.0,2698072,258315,5426.0,1423.0,11329752.0,248773.0,45542532.0,15920.0,540.0,21875.0,-6495.0,2021-05-04 09:32:00+00:00
Colombia,2905254,75164.0,2721317,108773,6006.0,1464.0,14999981.0,292192.0,51336116.0,11599.0,464.0,20723.0,-9588.0,2021-05-04 09:32:00+00:00
Poland,2808052,68133.0,2536931,202988,2609.0,1802.0,14490193.0,383218.0,37811840.0,4819.0,65.0,15963.0,-11209.0,2021-05-04 09:32:00+00:00
Iran,2555587,72875.0,2004949,477763,5461.0,858.0,16240345.0,191309.0,84890684.0,20732.0,391.0,16784.0,3557.0,2021-05-04 09:32:00+00:00
Mexico,2349900,217345.0,1872375,260180,4798.0,1671.0,6659184.0,51199.0,130064845.0,1027.0,112.0,5184.0,-4269.0,2021-05-04 09:32:00+00:00
Ukraine,2085938,44750.0,1681815,359373,177.0,1028.0,9487141.0,218030.0,43513052.0,2758.0,154.0,5550.0,-2946.0,2021-05-04 09:32:00+00:00
Peru,1814127,62375.0,1688091,63661,2654.0,1870.0,11293108.0,338571.0,33355236.0,3129.0,249.0,0.0,2880.0,2021-05-04 09:32:00+00:00
Indonesia,1682004,45949.0,1535491,100564,,167.0,14791816.0,53605.0,275940759.0,4730.0,153.0,4773.0,-196.0,2021-05-04 09:32:00+00:00
