Country,TotalCases,TotalDeaths,TotalRecovered,ActiveCases,Serious,Deaths1Mpop,TotalTests,Tests1Mpop,Population,NewCases,NewDeaths,NewRecovered,NewActive,LastUpdated
World,163769498,3394531.0,143406217,16968750,102154.0,435.5,,,,1231490,23105.0,1939341,-730956,2021-05-17 11:24:00+00:00
USA,33715951,600147.0,27136020,5979784,7971.0,1804.0,466056452.0,1400847.0,332696143.0,51938,833.0,423199,-372094,2021-05-17 11:24:00+00:00
India,24965463,274411.0,21174076,3516976,8944.0,197.0,316423658.0,227344.0,1391827403.0,592556,8182.0,741178,-156804,2021-05-17 11:24:00+00:00
Brazil,15627475,435823.0,14097287,1094365,8318.0,2038.0,47073060.0,220094.0,213877218.0,106162,3038.0,68932,34192,2021-05-17 11:24:00+00:00
France,5877787,107616.0,5116705,653466,4255.0,1646.0,81239297.0,1242197.0,65399664.0,29633,193.0,74294,-44854,2021-05-17 11:24:00+00:00
Turkey,5117374,44760.0,4947256,125358,2468.0,526.0,50869896.0,597558.0,85129663.0,21984,459.0,53232,-31707,2021-05-17 11:24:00+00:00
Russia,4949573,116211.0,4563254,270108,2300.0,796.0,133800000.0,916507.0,145989144.0,26672,1095.0,25620,-43,2021-05-17 11:24:00+00:00
UK,4450777,127679.0,4277207,45891,129.0,1872.0,169007195.0,2478213.0,68197203.0,3953,11.0,3766,176,2021-05-17 11:24:00+00:00
Italy,4159122,124156.0,3706084,328882,1779.0,2056.0,62902667.0,1041709.0,60384095.0,12400,229.0,22895,-10724,2021-05-17 11:24:00+00:00
Spain,3604799,79339.0,3297340,228120,1899.0,1696.0,47213067.0,1009460.0,46770603.0,0,0.0,0,0,2021-05-17 11:24:00+00:00
Germany,3602939,86731.0,3300700,215508,4123.0,1032.0,58093759.0,691445.0,84017867.0,17048,250.0,41700,-24902,2021-05-17 11:24:00+00:00
Argentina,3307285,70522.0,2952599,284164,5538.0,1548.0,12399366.0,272171.0,45557248.0,37819,669.0,39455,-2305,2021-05-17 11:24:00+00:00
Colombia,3118426,81300.0,2917584,119542,6582.0,1583.0,15925025.0,310095.0,51355369.0,33966,1050.0,28594,4322,2021-05-17 11:24:00+00:00
Poland,2855190,71675.0,2605703,177812,1572.0,1896.0,15184082.0,401585.0,37810373.0,6176,364.0,16426,-10614,2021-05-17 11:24:00+00:00
Iran,2751166,76936.0,2226122,448108,5337.0,906.0,18018878.0,212164.0,84928868.0,19014,503.0,29925,-11414,2021-05-17 11:24:00+00:00
Mexico,2381923,220433.0,1901322,260168,4798.0,1694.0,6852082.0,52663.0,130112930.0,3928,274.0,3735,-81,2021-05-17 11:24:00+00:00
Ukraine,2156000,48184.0,1864593,243223,177.0,1108.0,9841788.0,226228.0,43503769.0,12552,564.0,31992,-20004,2021-05-17 11:24:00+00:00
Peru,1889052,66220.0,1720665,102167,2680.0,1984.0,12091820.0,362339.0,33371555.0,10003,612.0,0,9391,2021-05-17 11:24:00+00:00
Indonesia,1744045,48305.0,1606611,89129,,175.0,15528037.0,56252.0,276043430.0,9760,482.0,13725,-4447,2021-05-17 11:24:00+00:00
Czechia,1653099,29913.0,1596931,26255,250.0,2789.0,21389353.0,1994097.0,10726335.0,1921,56.0,8585,-6720,2021-05-17 11:24:00+00:00
South Africa,1613728,55210.0,1524352,34166,546.0,921.0,11115048.0,185375.0,59959712.0,5335,86.0,2187,3062,2021-05-17 11:24:00+00:00
Netherlands,1598164,17449.0,1369594,211121,681.0,1016.0,13524699.0,787786.0,17167986.0,8882,26.0,17606,-8750,2021-05-17 11:24:00+00:00
Canada,1328582,24948.0,1233287,70347,1344.0,656.0,33482165.0,880400.0,38030617.0,10177,79.0,13177,-3079,2021-05-17 11:24:00+00:00
Chile,1286548,27832.0,1220351,38365,2954.0,1445.0,13947396.0,724192.0,19259250.0,13032,185.0,11955,892,2021-05-17 11:24:00+00:00
Philippines,1149925,19262.0,1076428,54235,1819.0,174.0,12618348.0,113832.0,110850579.0,18458,304.0,22905,-4751,2021-05-17 11:24:00+00:00
Iraq,1139373,15954.0,1045240,78179,456.0,389.0,9872873.0,240769.0,41005620.0,4514,44.0,10844,-6374,2021-05-17 11:24:00+00:00
Romania,1072291,29571.0,1026299,16421,753.0,1546.0,8689588.0,454350.0,19125336.0,1686,158.0,4270,-2742,2021-05-17 11:24:00+00:00
Sweden,1037126,14275.0,892260,130591,306.0,1406.0,9481745.0,933775.0,10154202.0,0,0.0,14107,-14107,2021-05-17 11:24:00+00:00
Belgium,1031923,24709.0,910652,96562,616.0,2124.0,13287222.0,1142137.0,11633650.0,3819,45.0,4679,-905,2021-05-17 11:24:00+00:00
Pakistan,880362,19617.0,792522,68223,4443.0,87.0,12480767.0,55564.0,224617789.0,7142,233.0,12084,-5175,2021-05-17 11:24:00+00:00
Portugal,842182,17007.0,802900,22275,71.0,1672.0,11165909.0,1097850.0,10170705.0,803,8.0,615,180,2021-05-17 11:24:00+00:00
Israel,839119,6382.0,832072,665,71.0,694.0,14487253.0,1575114.0,9197590.0,40,2.0,122,-84,2021-05-17 11:24:00+00:00
Hungary,798573,29213.0,630976,138384,258.0,3031.0,5649027.0,586066.0,9638898.0,2183,172.0,22085,-20074,2021-05-17 11:24:00+00:00
Bangladesh,780857,12181.0,723094,45582,1139.0,73.0,5718063.0,34421.0,166119101.0,1322,79.0,2623,-1380,2021-05-17 11:24:00+00:00
