Country,TotalCases,TotalDeaths,TotalRecovered,ActiveCases,Serious,Deaths1Mpop,TotalTests,Tests1Mpop,Population,NewCases,NewDeaths,NewRecovered,NewActive,LastUpdated
World,160345709,3331962.0,139110053,17903694,106103.0,427.5,,,,1348110,24220.0,1640856,-316966,2021-05-12 07:20:00+00:00
USA,33550115,596946.0,26558138,6395031,8741.0,1794.0,460400486.0,1383957.0,332669677.0,73334,1134.0,118426,-46226,2021-05-12 07:20:00+00:00
India,23340938,254225.0,19382642,3704071,8944.0,183.0,307583991.0,221022.0,1391642201.0,678363,8079.0,711420,-41136,2021-05-12 07:20:00+00:00
Brazil,15285048,425711.0,13847191,1012146,8318.0,1991.0,46834128.0,218998.0,213856608.0,100258,3293.0,133056,-36091,2021-05-12 07:20:00+00:00
France,5800170,106935.0,4951745,741490,4743.0,1635.0,79617249.0,1217432.0,65397697.0,23083,543.0,77636,-55096,2021-05-12 07:20:00+00:00
Turkey,5059433,43589.0,4766124,249720,2975.0,512.0,49830456.0,585433.0,85117272.0,28101,560.0,49206,-21665,2021-05-12 07:20:00+00:00
Russia,4896842,113976.0,4509915,272951,2300.0,781.0,131900000.0,903497.0,145988292.0,8115,329.0,7009,777,2021-05-12 07:20:00+00:00
UK,4439691,127629.0,4253367,58695,143.0,1872.0,166942214.0,2448108.0,68192342.0,4831,24.0,5156,-349,2021-05-12 07:20:00+00:00
Italy,4123230,123282.0,3636089,363859,2056.0,2042.0,61513452.0,1018682.0,60385304.0,12020,449.0,31566,-19995,2021-05-12 07:20:00+00:00
Spain,3586333,79100.0,3283915,223318,2038.0,1691.0,47213067.0,1009466.0,46770357.0,18925,308.0,35905,-17288,2021-05-12 07:20:00+00:00
Germany,3544315,85757.0,3220300,238258,5049.0,1021.0,56836969.0,676516.0,84014217.0,16775,386.0,44700,-28311,2021-05-12 07:20:00+00:00
