Country,TotalCases,TotalDeaths,TotalRecovered,ActiveCases,Serious,Deaths1Mpop,TotalTests,Tests1Mpop,Population,NewCases,NewDeaths,NewRecovered,NewActive,LastUpdated
World,159606992,3317738.0,138253420,18035834,106435.0,425.6,,,,609393,9996.0,784223,-184826,2021-05-11 04:44:00+00:00
USA,33515308,596179.0,26507427,6411702,8777.0,1792.0,459420934.0,1381034.0,332664383.0,38527,367.0,67715,-29555,2021-05-11 04:44:00+00:00
India,22992517,250025.0,19027304,3715188,8944.0,180.0,305600187.0,219603.0,1391605161.0,329942,3879.0,356082,-30019,2021-05-11 04:44:00+00:00
Brazil,15214030,423436.0,13759125,1031469,8318.0,1980.0,46834128.0,219002.0,213852486.0,29240,1018.0,44990,-16768,2021-05-11 04:44:00+00:00
France,5780379,106684.0,4917101,756594,4870.0,1631.0,79517576.0,1215915.0,65397303.0,3292,292.0,42992,-39992,2021-05-11 04:44:00+00:00
Turkey,5044936,43311.0,4743871,257754,2983.0,509.0,49604004.0,582789.0,85114793.0,13604,282.0,26953,-13631,2021-05-11 04:44:00+00:00
Russia,4888727,113647.0,4502906,272174,2300.0,778.0,131400000.0,900073.0,145988122.0,0,0.0,0,0,2021-05-11 04:44:00+00:00
UK,4437217,127609.0,4250699,58909,159.0,1871.0,165821683.0,2431711.0,68191369.0,2357,4.0,2488,-135,2021-05-11 04:44:00+00:00
Italy,4116287,123031.0,3619586,373670,2158.0,2037.0,61227024.0,1013935.0,60385546.0,5077,198.0,15063,-10184,2021-05-11 04:44:00+00:00
Spain,3581392,78895.0,3274808,227689,2134.0,1687.0,47213067.0,1009467.0,46770308.0,13984,103.0,26798,-12917,2021-05-11 04:44:00+00:00
Germany,3535354,85481.0,3196900,252973,5049.0,1017.0,56836969.0,676522.0,84013487.0,7814,110.0,21300,-13596,2021-05-11 04:44:00+00:00
Argentina,3165121,67821.0,2837058,260242,5357.0,1489.0,11891364.0,261059.0,45550456.0,17381,496.0,19893,-3008,2021-05-11 04:44:00+00:00
Colombia,3015301,78342.0,2835554,101405,6006.0,1526.0,15477840.0,301439.0,51346483.0,12543,488.0,15680,-3625,2021-05-11 04:44:00+00:00
Poland,2835083,70034.0,2576034,189015,2083.0,1852.0,14794397.0,391272.0,37811050.0,0,0.0,0,0,2021-05-11 04:44:00+00:00
Iran,2673219,75261.0,2127192,470766,5533.0,886.0,17206735.0,202644.0,84911245.0,18408,351.0,17490,567,2021-05-11 04:44:00+00:00
Mexico,2366496,219089.0,1888638,258769,4798.0,1684.0,6761179.0,51973.0,130090737.0,704,104.0,2405,-1805,2021-05-11 04:44:00+00:00
Ukraine,2122327,46512.0,1768753,307062,177.0,1069.0,9655779.0,221931.0,43508054.0,0,0.0,0,0,2021-05-11 04:44:00+00:00
Peru,1853370,64373.0,1720665,68332,2680.0,1929.0,11705258.0,350835.0,33364023.0,3080,270.0,0,2810,2021-05-11 04:44:00+00:00
