Country,TotalCases,TotalDeaths,TotalRecovered,ActiveCases,Serious,Deaths1Mpop,TotalTests,Tests1Mpop,Population,NewCases,NewDeaths,NewRecovered,NewActive,LastUpdated
World,156696833,3269661.0,134889453,18537719,109325.0,419.5,,,,1590051,25722.0,1547319,17010,2021-05-07 03:47:00+00:00
USA,33369192,594006.0,26105411,6669775,9279.0,1786.0,454453202.0,1366188.0,332643210.0,94130,1593.0,138984,-46447,2021-05-07 03:47:00+00:00
India,21485285,234071.0,17597410,3653804,8944.0,168.0,296775209.0,213284.0,1391457000.0,820137,7883.0,645679,166575,2021-05-07 03:47:00+00:00
Brazil,15009023,417176.0,13591335,1000512,8318.0,1951.0,46616516.0,218001.0,213835998.0,148211,5322.0,148339,-5450,2021-05-07 03:47:00+00:00
France,5728090,105850.0,4786754,835486,5231.0,1619.0,77792623.0,1189567.0,65395729.0,47712,463.0,69671,-22422,2021-05-07 03:47:00+00:00
Turkey,4977982,42187.0,4626799,308996,3378.0,496.0,48712606.0,572383.0,85104881.0,48864,660.0,72762,-24558,2021-05-07 03:47:00+00:00
Russia,4855128,112246.0,4472338,270544,2300.0,769.0,130600000.0,894598.0,145987440.0,7639,351.0,7788,-500,2021-05-07 03:47:00+00:00
UK,4428553,127583.0,4240475,60495,182.0,1871.0,161933673.0,2374830.0,68187480.0,4757,40.0,5703,-986,2021-05-07 03:47:00+00:00
Italy,4082198,122263.0,3557133,402802,2308.0,2025.0,60203970.0,996977.0,60386514.0,22377,525.0,32939,-11087,2021-05-07 03:47:00+00:00
Spain,3559222,78726.0,3239382,241114,2212.0,1683.0,47213067.0,1009471.0,46770110.0,14277,327.0,16685,-2735,2021-05-07 03:47:00+00:00
Germany,3486462,84811.0,3128800,272851,5049.0,1010.0,56836969.0,676545.0,84010567.0,38280,526.0,44100,-6346,2021-05-07 03:47:00+00:00
Argentina,3095582,66263.0,2757230,272089,5299.0,1455.0,11610358.0,254915.0,45545928.0,48165,1061.0,39772,7332,2021-05-07 03:47:00+00:00
Colombia,2951101,76414.0,2773220,101467,6006.0,1488.0,15201520.0,296092.0,51340559.0,31296,787.0,35463,-4954,2021-05-07 03:47:00+00:00
Poland,2818378,68993.0,2546751,202634,2334.0,1825.0,14546443.0,384709.0,37811502.0,6427,511.0,6067,-151,2021-05-07 03:47:00+00:00
Iran,2610018,73906.0,2057692,478420,5515.0,871.0,16652514.0,196144.0,84899496.0,18409,338.0,18265,-194,2021-05-07 03:47:00+00:00
Mexico,2358831,218173.0,1879713,260945,4798.0,1677.0,6714852.0,51623.0,130075942.0,5867,433.0,4502,932,2021-05-07 03:47:00+00:00
Ukraine,2097024,45451.0,1711709,339864,177.0,1045.0,9487141.0,218041.0,43510910.0,6038,374.0,14351,-8687,2021-05-07 03:47:00+00:00
Peru,1832671,63223.0,1720665,48783,2658.0,1895.0,11483598.0,344243.0,33359002.0,13982,549.0,32574,-19141,2021-05-07 03:47:00+00:00
Indonesia,1697305,46496.0,1552532,98277,,168.0,15023292.0,54439.0,275964453.0,5647,147.0,5440,60,2021-05-07 03:47:00+00:00
Czechia,1641120,29521.0,1569862,41737,435.0,2752.0,19341919.0,1803309.0,10725794.0,1872,42.0,1232,598,2021-05-07 03:47:00+00:00
South Africa,1590370,54620.0,1511905,23845,546.0,911.0,10805804.0,180279.0,59939283.0,4222,109.0,2249,1864,2021-05-07 03:47:00+00:00
Netherlands,1538589,17269.0,1295738,225582,806.0,1006.0,12762141.0,743413.0,17166953.0,6789,24.0,5493,1272,2021-05-07 03:47:00+00:00
Canada,1265320,24489.0,1159506,81325,1456.0,644.0,32266260.0,848630.0,38021585.0,15370,93.0,16652,-1375,2021-05-07 03:47:00+00:00
Chile,1229248,26895.0,1166227,36126,3188.0,1397.0,13366644.0,694199.0,19254771.0,10184,199.0,10597,-612,2021-05-07 03:47:00+00:00
Iraq,1098187,15673.0,986134,96380,566.0,382.0,9565625.0,233417.0,40980899.0,6233,33.0,7093,-893,2021-05-07 03:47:00+00:00
Philippines,1080172,17991.0,999011,63170,750.0,162.0,12120695.0,109382.0,110810725.0,6617,191.0,5969,457,2021-05-07 03:47:00+00:00
Romania,1062527,28710.0,1005623,28194,1100.0,1501.0,8381037.0,438137.0,19128823.0,1632,94.0,2638,-1100,2021-05-07 03:47:00+00:00
Belgium,1007264,24444.0,878558,104262,757.0,2101.0,12821364.0,1102223.0,11632275.0,7637,77.0,1884,5676,2021-05-07 03:47:00+00:00
Sweden,1002121,14158.0,827604,160359,401.0,1395.0,8798383.0,866624.0,10152485.0,6526,7.0,6773,-254,2021-05-07 03:47:00+00:00
Pakistan,845833,18537.0,743124,84172,5107.0,83.0,12056986.0,53706.0,224500406.0,4197,108.0,4397,-308,2021-05-07 03:47:00+00:00
