Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,Serious,Deaths1Mpop,TotalTests,Tests1Mpop,Population,LastUpdated
World,153500734,20729.0,3216418.0,261.0,131532623,55830.0,18751693,111678.0,412.6,,,,2021-05-03 05:25:00+00:00
USA,33180441,,591062.0,,25823800,,6765579,9466.0,1777.0,448984680.0,1349834.0,332622037.0,2021-05-03 05:25:00+00:00
India,19925604,5889.0,218959.0,14.0,16293003,11265.0,3413642,8944.0,157.0,291647037.0,209621.0,1391308838.0,2021-05-03 05:25:00+00:00
Brazil,14754910,,407775.0,,13278718,,1068417,8318.0,1907.0,43818216.0,204931.0,213819510.0,2021-05-03 05:25:00+00:00
France,5652247,,104819.0,,4636940,,910488,5585.0,1603.0,76694164.0,1172798.0,65394155.0,2021-05-03 05:25:00+00:00
Turkey,4875388,,40844.0,,4480381,,354163,3532.0,480.0,47744338.0,561071.0,85094968.0,2021-05-03 05:25:00+00:00
Russia,4823255,,110862.0,,4443922,,268471,2300.0,759.0,129800000.0,889122.0,145986759.0,2021-05-03 05:25:00+00:00
UK,4420201,,127538.0,,4221582,,71081,185.0,1871.0,156302824.0,2292382.0,68183590.0,2021-05-03 05:25:00+00:00
Italy,4044762,,121177.0,,3492679,,430906,2524.0,2007.0,59114826.0,978925.0,60387482.0,2021-05-03 05:25:00+00:00
Spain,3524077,,78216.0,,3206273,,239588,2308.0,1672.0,46199597.0,987806.0,46769913.0,2021-05-03 05:25:00+00:00
Germany,3425598,,83826.0,,3040700,16100.0,301072,5049.0,998.0,55490413.0,660540.0,84007647.0,2021-05-03 05:25:00+00:00
Argentina,3005259,,64252.0,,2676197,,264810,5371.0,1411.0,11245454.0,246928.0,45541400.0,2021-05-03 05:25:00+00:00
Colombia,2893655,,74700.0,,2700594,,118361,6006.0,1455.0,14944628.0,291122.0,51334635.0,2021-05-03 05:25:00+00:00
Poland,2803233,,68068.0,,2520968,,214197,2652.0,1800.0,14428003.0,381573.0,37811953.0,2021-05-03 05:25:00+00:00
Iran,2534855,,72484.0,,1988165,,474206,5443.0,854.0,16101399.0,189679.0,84887747.0,2021-05-03 05:25:00+00:00
Mexico,2348873,1093.0,217233.0,65.0,1867191,,264449,4798.0,1670.0,6654713.0,51166.0,130061146.0,2021-05-03 05:25:00+00:00
Ukraine,2083180,,44596.0,,1676265,,362319,177.0,1025.0,9477843.0,217813.0,43513767.0,2021-05-03 05:25:00+00:00
Peru,1810998,,62126.0,,1688091,,60781,2654.0,1863.0,11269734.0,337883.0,33353981.0,2021-05-03 05:25:00+00:00
Indonesia,1677274,,45796.0,,1530718,,100760,,166.0,14703659.0,53287.0,275932862.0,2021-05-03 05:25:00+00:00
Czechia,1634114,,29343.0,,1555215,,49556,497.0,2736.0,18422238.0,1717599.0,10725578.0,2021-05-03 05:25:00+00:00
South Africa,1584064,,54417.0,,1507778,,21869,546.0,908.0,10699021.0,178522.0,59931112.0,2021-05-03 05:25:00+00:00
Netherlands,1507615,,17172.0,,1270524,,219919,810.0,1000.0,12274847.0,715045.0,17166540.0,2021-05-03 05:25:00+00:00
Canada,1234181,,24300.0,,1126138,,83743,1422.0,639.0,31756698.0,835308.0,38017972.0,2021-05-03 05:25:00+00:00
Chile,1210920,,26561.0,,1143565,,40794,3318.0,1380.0,13182710.0,684710.0,19252980.0,2021-05-03 05:25:00+00:00
Iraq,1074930,,15536.0,,957200,,102194,578.0,379.0,9408134.0,229629.0,40971011.0,2021-05-03 05:25:00+00:00
Romania,1057655,,28282.0,,995506,,33867,1253.0,1478.0,8285525.0,433112.0,19130218.0,2021-05-03 05:25:00+00:00
