Country,TotalCases,TotalDeaths,TotalRecovered,ActiveCases,Serious,Deaths1Mpop,TotalTests,Tests1Mpop,Population,NewCases,NewDeaths,NewRecovered,NewActive,LastUpdated
World,163162127,3383005.0,142566462,17212660,102953.0,434.0,,,,2081511,37987.0,2717180,-673656,2021-05-16 01:26:00+00:00
USA,33695916,599863.0,27098620,5997433,8016.0,1803.0,465224944.0,1398370.0,332690850.0,109780,2078.0,478391,-370689,2021-05-16 01:26:00+00:00
India,24683065,270319.0,20789038,3623708,8944.0,194.0,313017193.0,224903.0,1391790362.0,980233,11968.0,1060602,-92337,2021-05-16 01:26:00+00:00
Brazil,15590613,434852.0,14062396,1093365,8318.0,2033.0,46970130.0,219617.0,213873096.0,228927,6596.0,138179,84152,2021-05-16 01:26:00+00:00
France,5863839,107535.0,5080456,675848,4271.0,1644.0,81156099.0,1240933.0,65399271.0,42171,416.0,120359,-78604,2021-05-16 01:26:00+00:00
Turkey,5106862,44537.0,4932838,129487,2563.0,523.0,50667653.0,595199.0,85127184.0,34400,716.0,131547,-97863,2021-05-16 01:26:00+00:00
Russia,4931691,115480.0,4547500,268711,2300.0,791.0,133100000.0,911713.0,145988974.0,26632,1149.0,28971,-3488,2021-05-16 01:26:00+00:00
UK,4448851,127675.0,4275502,45674,129.0,1872.0,169007195.0,2478248.0,68196231.0,6876,35.0,19399,-12558,2021-05-16 01:26:00+00:00
Italy,4153374,124063.0,3696481,332830,1805.0,2055.0,62700094.0,1038350.0,60384337.0,22296,519.0,41369,-19592,2021-05-16 01:26:00+00:00
Spain,3604799,79339.0,3297340,228120,1899.0,1696.0,47213067.0,1009461.0,46770554.0,12048,131.0,6184,5733,2021-05-16 01:26:00+00:00
Germany,3595872,86669.0,3275500,233703,4376.0,1032.0,58093759.0,691451.0,84017137.0,37724,660.0,55200,-18136,2021-05-16 01:26:00+00:00
Argentina,3290935,70253.0,2933946,286736,5517.0,1542.0,12331859.0,270696.0,45556116.0,75363,1446.0,64605,9312,2021-05-16 01:26:00+00:00
Colombia,3103333,80780.0,2902646,119907,6582.0,1573.0,15863467.0,308905.0,51353888.0,54614,1519.0,43019,10076,2021-05-16 01:26:00+00:00
Poland,2851911,71609.0,2595635,184667,1627.0,1894.0,15135124.0,400289.0,37810486.0,9572,930.0,13116,-4474,2021-05-16 01:26:00+00:00
Iran,2739875,76633.0,2210851,452391,5396.0,902.0,17882461.0,210565.0,84925931.0,32114,699.0,48764,-17349,2021-05-16 01:26:00+00:00
Mexico,2377995,220159.0,1897587,260249,4798.0,1692.0,6829477.0,52490.0,130109231.0,6512,569.0,4351,1592,2021-05-16 01:26:00+00:00
Ukraine,2150244,47942.0,1849803,252499,177.0,1102.0,9824399.0,225825.0,43504483.0,21171,955.0,52667,-32451,2021-05-16 01:26:00+00:00
Peru,1879049,65608.0,1720665,92776,2685.0,1966.0,11972376.0,358773.0,33370299.0,13410,710.0,0,12700,2021-05-16 01:26:00+00:00
Indonesia,1736670,47967.0,1597067,91636,,174.0,15481111.0,56084.0,276035532.0,8466,350.0,12189,-4073,2021-05-16 01:26:00+00:00
Czechia,1652238,29886.0,1592219,30133,293.0,2786.0,21214900.0,1977843.0,10726281.0,3571,99.0,5819,-2347,2021-05-16 01:26:00+00:00
South Africa,1611143,55183.0,1523243,32717,546.0,920.0,11087505.0,184922.0,59957669.0,9112,215.0,3509,5388,2021-05-16 01:26:00+00:00
Netherlands,1593728,17436.0,1360722,215570,704.0,1016.0,13171698.0,767229.0,17167883.0,15974,37.0,20781,-4844,2021-05-16 01:26:00+00:00
Canada,1323681,24908.0,1226870,71903,1344.0,655.0,33383698.0,877832.0,38029713.0,17911,142.0,22542,-4773,2021-05-16 01:26:00+00:00
Chile,1280252,27734.0,1214817,37701,2953.0,1440.0,13881510.0,720788.0,19258802.0,19804,350.0,15385,4069,2021-05-16 01:26:00+00:00
Philippines,1138187,19051.0,1062427,56709,1819.0,172.0,12570563.0,113405.0,110846594.0,19828,337.0,15996,3495,2021-05-16 01:26:00+00:00
Iraq,1136917,15930.0,1039616,81371,465.0,389.0,9855685.0,240364.0,41003148.0,9337,75.0,16032,-6770,2021-05-16 01:26:00+00:00
Romania,1071334,29485.0,1023822,18027,784.0,1542.0,8659474.0,452767.0,19125685.0,2517,252.0,5180,-2915,2021-05-16 01:26:00+00:00
Sweden,1037126,14275.0,878153,144698,341.0,1406.0,8798383.0,866492.0,10154031.0,9192,8.0,15954,-6770,2021-05-16 01:26:00+00:00
Belgium,1028104,24664.0,905973,97467,644.0,2120.0,13210753.0,1135577.0,11633513.0,7772,55.0,8069,-352,2021-05-16 01:26:00+00:00
Pakistan,874751,19467.0,783480,71804,4387.0,87.0,12410924.0,55256.0,224606051.0,7313,257.0,11788,-4732,2021-05-16 01:26:00+00:00
Portugal,841848,17006.0,802671,22171,71.0,1672.0,11133009.0,1094607.0,10170786.0,1355,8.0,1050,297,2021-05-16 01:26:00+00:00
Israel,839117,6381.0,831981,755,66.0,694.0,14487253.0,1575114.0,9197590.0,87,2.0,155,-70,2021-05-16 01:26:00+00:00
Hungary,797429,29114.0,618608,149707,308.0,3020.0,5622836.0,583344.0,9638965.0,3645,226.0,26168,-22749,2021-05-16 01:26:00+00:00
Bangladesh,779796,12124.0,721435,46237,1149.0,73.0,5702286.0,34327.0,166114622.0,2399,79.0,3186,-866,2021-05-16 01:26:00+00:00
Jordan,723345,9243.0,710445,3657,729.0,898.0,6921815.0,672601.0,10291121.0,1009,63.0,1591,-645,2021-05-16 01:26:00+00:00
Serbia,705890,6664.0,675008,24218,97.0,765.0,4001180.0,459553.0,8706675.0,2393,53.0,5698,-3358,2021-05-16 01:26:00+00:00
Switzerland,679510,10730.0,617283,51497,179.0,1232.0,7273942.0,835159.0,8709646.0,2300,5.0,4812,-2517,2021-05-16 01:26:00+00:00
Japan,671841,11365.0,584770,75706,1231.0,90.0,13015244.0,103182.0,126138855.0,20139,301.0,16212,3626,2021-05-16 01:26:00+00:00
Austria,636424,10470.0,614803,11151,321.0,1157.0,36217595.0,4001460.0,9051096.0,2464,42.0,5137,-2715,2021-05-16 01:26:00+00:00
UAE,544931,1629.0,525080,18222,,163.0,46815989.0,4684348.0,9994131.0,4285,10.0,4198,77,2021-05-16 01:26:00+00:00
Lebanon,535446,7602.0,497198,30646,333.0,1118.0,4163257.0,612353.0,6798783.0,1058,53.0,6893,-5888,2021-05-16 01:26:00+00:00
Morocco,514817,9098.0,502884,2835,98.0,244.0,6374419.0,170940.0,37290353.0,385,10.0,1192,-817,2021-05-16 01:26:00+00:00
Malaysia,466330,1866.0,422329,42135,503.0,57.0,10445009.0,319167.0,32725875.0,13108,105.0,10969,2034,2021-05-16 01:26:00+00:00
Nepal,447704,4856.0,333108,109740,,164.0,2751481.0,92984.0,29590786.0,25355,604.0,16645,8106,2021-05-16 01:26:00+00:00
Saudi Arabia,432269,7147.0,416759,8363,1331.0,203.0,17916457.0,507779.0,35283944.0,2880,36.0,3749,-905,2021-05-16 01:26:00+00:00
Bulgaria,414041,17250.0,362327,34464,501.0,2499.0,2663903.0,385917.0,6902783.0,1227,100.0,5178,-4051,2021-05-16 01:26:00+00:00
Ecuador,409520,19692.0,342878,46950,593.0,1102.0,1366625.0,76453.0,17875364.0,4888,343.0,0,4545,2021-05-16 01:26:00+00:00
Slovakia,387420,12203.0,370552,4665,204.0,2234.0,2759676.0,505255.0,5461946.0,880,107.0,1468,-695,2021-05-16 01:26:00+00:00
Greece,375831,11365.0,335156,29310,661.0,1095.0,8832737.0,851050.0,10378639.0,6277,154.0,1264,4859,2021-05-16 01:26:00+00:00
Belarus,374714,2691.0,365255,6768,,285.0,6070189.0,642578.0,9446615.0,3309,30.0,3143,136,2021-05-16 01:26:00+00:00
Panama,370533,6296.0,358938,5299,105.0,1440.0,2516022.0,575268.0,4373653.0,1603,11.0,894,698,2021-05-16 01:26:00+00:00
Kazakhstan,355645,4039.0,312837,38769,221.0,213.0,10749824.0,566625.0,18971673.0,7337,75.0,8164,-902,2021-05-16 01:26:00+00:00
Croatia,349910,7687.0,335337,6886,185.0,1883.0,1920316.0,470300.0,4083174.0,2816,98.0,3949,-1231,2021-05-16 01:26:00+00:00
Bolivia,329733,13451.0,269288,46994,200.0,1139.0,1299971.0,110063.0,11811166.0,7155,143.0,4271,2741,2021-05-16 01:26:00+00:00
Georgia,329407,4426.0,307918,17063,,1111.0,4555909.0,1143984.0,3982492.0,3742,63.0,2983,696,2021-05-16 01:26:00+00:00
Azerbaijan,329371,4768.0,313778,10825,,467.0,3375679.0,330347.0,10218586.0,1212,42.0,4007,-2837,2021-05-16 01:26:00+00:00
Tunisia,325832,11779.0,286940,27113,445.0,988.0,1383545.0,116011.0,11926024.0,1729,142.0,3670,-2083,2021-05-16 01:26:00+00:00
Paraguay,311746,7534.0,258338,45874,584.0,1045.0,1188141.0,164823.0,7208585.0,6857,176.0,5913,768,2021-05-16 01:26:00+00:00
Palestine,303658,3423.0,291191,9044,78.0,658.0,1787484.0,343486.0,5203952.0,388,22.0,2300,-1934,2021-05-16 01:26:00+00:00
Kuwait,290801,1687.0,276792,12322,194.0,390.0,2453107.0,567147.0,4325344.0,2617,18.0,3503,-904,2021-05-16 01:26:00+00:00
Costa Rica,282741,3547.0,221903,57291,489.0,691.0,1093074.0,212887.0,5134536.0,5854,65.0,4219,1570,2021-05-16 01:26:00+00:00
Dominican Republic,276272,3569.0,233431,39272,283.0,326.0,1473359.0,134647.0,10942402.0,2775,15.0,1050,1710,2021-05-16 01:26:00+00:00
Ethiopia,265832,3976.0,218866,42990,596.0,34.0,2648487.0,22555.0,117424460.0,1465,38.0,4058,-2631,2021-05-16 01:26:00+00:00
Denmark,265539,2502.0,250257,12780,33.0,431.0,46271866.0,7964238.0,5809955.0,3380,3.0,2402,975,2021-05-16 01:26:00+00:00
Lithuania,264724,4088.0,239702,20934,169.0,1520.0,3093727.0,1150479.0,2689077.0,3596,29.0,4437,-870,2021-05-16 01:26:00+00:00
Ireland,254870,4941.0,237164,12765,39.0,991.0,4729538.0,948625.0,4985679.0,857,4.0,771,82,2021-05-16 01:26:00+00:00
Moldova,253736,6016.0,244664,3056,148.0,1494.0,1045418.0,259680.0,4025790.0,563,35.0,591,-63,2021-05-16 01:26:00+00:00
Slovenia,249014,4320.0,237061,7633,121.0,2078.0,1228272.0,590746.0,2079187.0,1565,16.0,2872,-1323,2021-05-16 01:26:00+00:00
Egypt,244520,14269.0,180577,49674,90.0,137.0,2715258.0,26107.0,104005913.0,3593,178.0,1772,1643,2021-05-16 01:26:00+00:00
Guatemala,241117,7872.0,220536,12709,5.0,432.0,1342689.0,73764.0,18202607.0,3435,57.0,3317,61,2021-05-16 01:26:00+00:00
Uruguay,238079,3419.0,206670,27990,496.0,981.0,1993646.0,572195.0,3484208.0,9977,167.0,7748,2062,2021-05-16 01:26:00+00:00
Honduras,225256,5937.0,82549,136770,536.0,591.0,673368.0,67061.0,10041171.0,3138,148.0,576,2414,2021-05-16 01:26:00+00:00
Armenia,220729,4314.0,208100,8315,,1453.0,1033513.0,348211.0,2968066.0,779,42.0,2022,-1285,2021-05-16 01:26:00+00:00
Venezuela,212998,2366.0,196759,13873,316.0,83.0,3359014.0,118418.0,28365690.0,2882,46.0,3670,-834,2021-05-16 01:26:00+00:00
Qatar,212927,526.0,206307,6094,208.0,187.0,1967354.0,700673.0,2807805.0,803,7.0,1899,-1103,2021-05-16 01:26:00+00:00
Oman,202713,2148.0,186391,14174,255.0,412.0,1550000.0,297001.0,5218833.0,0,0.0,0,0,2021-05-16 01:26:00+00:00
Bosnia and Herzegovina,202143,8981.0,168549,24613,,2752.0,937964.0,287454.0,3263010.0,347,38.0,845,-536,2021-05-16 01:26:00+00:00
Bahrain,199093,737.0,182535,15821,160.0,421.0,4336159.0,2474270.0,1752500.0,4804,32.0,4077,695,2021-05-16 01:26:00+00:00
Libya,181179,3085.0,167629,10465,,444.0,981532.0,141180.0,6952358.0,234,3.0,307,-76,2021-05-16 01:26:00+00:00
Nigeria,165702,2066.0,156412,7224,11.0,10.0,1977479.0,9392.0,210554790.0,143,0.0,38,105,2021-05-16 01:26:00+00:00
Kenya,165379,3001.0,113489,48889,117.0,55.0,1741604.0,31783.0,54795867.0,993,51.0,365,577,2021-05-16 01:26:00+00:00
North Macedonia,154636,5197.0,145606,3833,111.0,2495.0,753923.0,361889.0,2083299.0,264,46.0,6340,-6122,2021-05-16 01:26:00+00:00
Myanmar,143059,3212.0,132100,7747,,59.0,2600857.0,47524.0,54726968.0,62,1.0,36,25,2021-05-16 01:26:00+00:00
Sri Lanka,140471,941.0,117220,22310,,44.0,3075321.0,143096.0,21491378.0,6944,91.0,9563,-2710,2021-05-16 01:26:00+00:00
