Country,TotalCases,TotalDeaths,TotalRecovered,ActiveCases,Serious,Deaths1Mpop,TotalTests,Tests1Mpop,Population,NewCases,NewDeaths,NewRecovered,NewActive,LastUpdated
World,165228759,3424561.0,145514275,16289923,100643.0,439.3,,,,961691,20376.0,1328566,-387251,2021-05-19 15:56:00+00:00
USA,33776970,601398.0,27253889,5921683,7738.0,1808.0,468114415.0,1406988.0,332706730.0,29531,865.0,51580,-22914,2021-05-19 15:56:00+00:00
India,25703821,286063.0,22277260,3140498,8944.0,206.0,320301177.0,230118.0,1391901483.0,475851,7312.0,687257,-218718,2021-05-19 15:56:00+00:00
Brazil,15735485,439379.0,14247609,1048497,8318.0,2054.0,47073060.0,220085.0,213885462.0,74379,2517.0,95176,-23314,2021-05-19 15:56:00+00:00
France,5898347,108040.0,5181486,608821,4015.0,1652.0,81932887.0,1252788.0,65400451.0,17210,228.0,29116,-12134,2021-05-19 15:56:00+00:00
Turkey,5139485,45186.0,4971245,123054,2232.0,531.0,51294008.0,602505.0,85134619.0,11937,203.0,10125,1609,2021-05-19 15:56:00+00:00
Russia,4965676,116965.0,4581787,266924,2300.0,801.0,134300000.0,919929.0,145989485.0,16103,754.0,18533,-3184,2021-05-19 15:56:00+00:00
UK,4450392,127691.0,4281947,40754,125.0,1872.0,171398433.0,2513205.0,68199148.0,-2364,7.0,2680,-5051,2021-05-19 15:56:00+00:00
Italy,4172525,124646.0,3741149,306730,1643.0,2064.0,63571711.0,1052797.0,60383611.0,9949,350.0,25760,-16161,2021-05-19 15:56:00+00:00
Spain,3619848,79502.0,3342024,198322,1774.0,1700.0,48928535.0,1046136.0,46770702.0,3988,70.0,8437,-4519,2021-05-19 15:56:00+00:00
Germany,3618314,87204.0,3340400,190710,3879.0,1038.0,58093759.0,691433.0,84019328.0,10022,334.0,39700,-30012,2021-05-19 15:56:00+00:00
Argentina,3371508,71771.0,2992325,307412,5813.0,1575.0,12602579.0,276618.0,45559512.0,35543,744.0,19058,15741,2021-05-19 15:56:00+00:00
Colombia,3144547,82291.0,2947661,114595,6582.0,1602.0,15998997.0,311517.0,51358330.0,13137,482.0,16381,-3726,2021-05-19 15:56:00+00:00
Poland,2859261,72250.0,2610932,176079,1377.0,1911.0,15184082.0,401587.0,37810148.0,4071,575.0,5229,-1733,2021-05-19 15:56:00+00:00
Iran,2792204,77765.0,2272719,441720,5158.0,916.0,18418983.0,216860.0,84934743.0,26719,543.0,30696,-4520,2021-05-19 15:56:00+00:00
Mexico,2385512,220746.0,1905591,259175,4798.0,1696.0,6874702.0,52833.0,130120328.0,2767,257.0,2097,413,2021-05-19 15:56:00+00:00
Ukraine,2165233,48696.0,1899446,217091,177.0,1119.0,9882447.0,227170.0,43502341.0,9233,512.0,34853,-26132,2021-05-19 15:56:00+00:00
Peru,1897900,66770.0,1720665,110465,2655.0,2001.0,12173032.0,364745.0,33374065.0,4566,299.0,0,4267,2021-05-19 15:56:00+00:00
Indonesia,1753101,48669.0,1616603,87829,,176.0,15738417.0,57011.0,276059226.0,9056,364.0,9992,-1300,2021-05-19 15:56:00+00:00
Czechia,1655414,29948.0,1602118,23348,224.0,2792.0,22005586.0,2051527.0,10726444.0,2315,35.0,5187,-2907,2021-05-19 15:56:00+00:00
South Africa,1617840,55340.0,1527968,34532,546.0,923.0,11166950.0,186228.0,59963798.0,2355,80.0,1330,945,2021-05-19 15:56:00+00:00
Netherlands,1610868,17488.0,1393477,199903,631.0,1019.0,13524699.0,787777.0,17168193.0,9875,32.0,15605,-5762,2021-05-19 15:56:00+00:00
Canada,1338141,25018.0,1248382,64741,1344.0,658.0,33668274.0,885252.0,38032423.0,4033,35.0,6882,-2884,2021-05-19 15:56:00+00:00
Chile,1300629,27997.0,1236581,36051,2972.0,1454.0,14076346.0,730854.0,19260145.0,8533,63.0,10735,-2265,2021-05-19 15:56:00+00:00
Philippines,1159071,19507.0,1089613,49951,1819.0,176.0,12793212.0,115401.0,110858550.0,9146,245.0,13185,-4284,2021-05-19 15:56:00+00:00
Iraq,1151557,16069.0,1061975,73513,457.0,392.0,9970564.0,243122.0,41010564.0,8632,74.0,11288,-2730,2021-05-19 15:56:00+00:00
Romania,1073679,29716.0,1028554,15409,718.0,1554.0,8753313.0,457698.0,19124639.0,1388,145.0,2255,-1012,2021-05-19 15:56:00+00:00
Sweden,1051762,14349.0,902442,134971,283.0,1413.0,9481745.0,933744.0,10154546.0,14636,74.0,5197,9365,2021-05-19 15:56:00+00:00
Belgium,1034714,24749.0,922277,87688,613.0,2127.0,13349334.0,1147449.0,11633925.0,2791,40.0,11625,-8874,2021-05-19 15:56:00+00:00
Pakistan,886184,19856.0,799951,66377,4549.0,88.0,12552339.0,55877.0,224641266.0,5822,239.0,7429,-1846,2021-05-19 15:56:00+00:00
Portugal,843278,17013.0,804176,22089,56.0,1673.0,11233120.0,1104476.0,10170543.0,897,4.0,985,-92,2021-05-19 15:56:00+00:00
Israel,839208,6395.0,832208,605,59.0,695.0,14487253.0,1575114.0,9197590.0,49,6.0,115,-72,2021-05-19 15:56:00+00:00
Hungary,799588,29329.0,648513,121746,224.0,3043.0,5670793.0,588332.0,9638765.0,1015,116.0,17537,-16638,2021-05-19 15:56:00+00:00
Bangladesh,783737,12248.0,726132,45357,1155.0,74.0,5755446.0,34645.0,166128060.0,2880,67.0,3038,-225,2021-05-19 15:56:00+00:00
Jordan,727612,9314.0,710445,7853,729.0,905.0,7034669.0,683512.0,10291950.0,2354,38.0,0,2316,2021-05-19 15:56:00+00:00
Serbia,708328,6725.0,682847,18756,80.0,772.0,4041471.0,464196.0,8706388.0,1295,29.0,3591,-2325,2021-05-19 15:56:00+00:00
Japan,692702,11851.0,609086,71765,1293.0,94.0,13307674.0,105503.0,126135695.0,9527,343.0,13909,-4725,2021-05-19 15:56:00+00:00
Switzerland,684954,10755.0,626589,47610,171.0,1235.0,7390415.0,848482.0,8710164.0,2794,11.0,4894,-2111,2021-05-19 15:56:00+00:00
Austria,639054,10508.0,618798,9748,267.0,1161.0,37237382.0,4113939.0,9051516.0,1481,28.0,1491,-38,2021-05-19 15:56:00+00:00
UAE,550029,1639.0,530085,18305,,164.0,47513885.0,4753713.0,9995110.0,2618,6.0,2566,46,2021-05-19 15:56:00+00:00
Lebanon,537043,7651.0,503774,25618,292.0,1125.0,4241656.0,623907.0,6798534.0,1089,20.0,2902,-1833,2021-05-19 15:56:00+00:00
Morocco,515420,9105.0,503861,2454,112.0,244.0,6396074.0,171504.0,37293938.0,397,1.0,378,18,2021-05-19 15:56:00+00:00
Malaysia,485496,2040.0,436116,47340,559.0,62.0,10765602.0,328929.0,32729274.0,10940,93.0,7013,3834,2021-05-19 15:56:00+00:00
Nepal,480418,5657.0,360403,114358,,191.0,2834098.0,95762.0,29595087.0,16200,442.0,14880,878,2021-05-19 15:56:00+00:00
Saudi Arabia,436239,7201.0,420671,8367,1372.0,204.0,18194963.0,515608.0,35288391.0,2259,27.0,1757,475,2021-05-19 15:56:00+00:00
Bulgaria,415326,17379.0,367464,30483,485.0,2518.0,2698506.0,390954.0,6902357.0,457,36.0,2782,-2361,2021-05-19 15:56:00+00:00
Ecuador,411466,19877.0,354499,37090,599.0,1112.0,1374244.0,76870.0,17877562.0,596,91.0,0,505,2021-05-19 15:56:00+00:00
Slovakia,388138,12262.0,372069,3807,171.0,2245.0,2778680.0,508732.0,5461967.0,479,24.0,1079,-624,2021-05-19 15:56:00+00:00
Greece,383558,11587.0,340612,31359,642.0,1116.0,9003208.0,867510.0,10378224.0,5073,116.0,0,4957,2021-05-19 15:56:00+00:00
Belarus,380089,2732.0,370135,7222,,289.0,6133343.0,649265.0,9446589.0,2557,21.0,2295,241,2021-05-19 15:56:00+00:00
Panama,371684,6300.0,359848,5536,105.0,1440.0,2537845.0,580184.0,4374210.0,539,3.0,367,169,2021-05-19 15:56:00+00:00
Kazakhstan,364048,4124.0,323816,36108,221.0,217.0,10989671.0,579211.0,18973514.0,3855,51.0,6075,-2271,2021-05-19 15:56:00+00:00
Croatia,351997,7792.0,338982,5223,163.0,1908.0,1946021.0,476619.0,4082968.0,1491,54.0,1507,-70,2021-05-19 15:56:00+00:00
Bolivia,337441,13635.0,275069,48737,200.0,1154.0,1330406.0,112627.0,11812471.0,4874,118.0,3379,1377,2021-05-19 15:56:00+00:00
Georgia,333601,4519.0,313651,15431,,1135.0,4650210.0,1167682.0,3982430.0,2722,50.0,2792,-120,2021-05-19 15:56:00+00:00
Azerbaijan,331040,4814.0,317609,8617,,471.0,3414614.0,334133.0,10219334.0,771,22.0,2194,-1445,2021-05-19 15:56:00+00:00
Tunisia,328528,11971.0,290282,26275,445.0,1004.0,1397361.0,117159.0,11927037.0,1055,72.0,1347,-364,2021-05-19 15:56:00+00:00
