Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,Serious,Deaths1Mpop,TotalTests,Tests1Mpop,Population,LastUpdated
Morocco,511856,294.0,9028.0,2.0,498415,284.0,4413,198.0,242.0,6278157.0,168434.0,37273622.0,2021-05-02 17:42:00+00:00
Saudi Arabia,419348,937.0,6979.0,11.0,402664,1120.0,9705,1351.0,198.0,17031714.0,482988.0,35263191.0,2021-05-02 17:42:00+00:00
Malaysia,415012,3418.0,1533.0,12.0,383140,2698.0,30339,345.0,47.0,9540805.0,291678.0,32710014.0,2021-05-02 17:42:00+00:00
Bulgaria,404846,,16444.0,,339889,,48513,670.0,2382.0,2525448.0,365754.0,6904772.0,2021-05-02 17:42:00+00:00
Ecuador,387299,2710.0,18740.0,16.0,329582,10984.0,38977,617.0,1049.0,1294163.0,72441.0,17865111.0,2021-05-02 17:42:00+00:00
Slovakia,383098,378.0,11766.0,34.0,364242,590.0,7090,310.0,2154.0,2664217.0,487787.0,5461845.0,2021-05-02 17:42:00+00:00
Panama,364844,,6235.0,,354713,,3896,105.0,1426.0,2402739.0,549693.0,4371053.0,2021-05-02 17:42:00+00:00
Belarus,361063,1081.0,2562.0,10.0,351816,1383.0,6685,,271.0,5887035.0,623182.0,9446733.0,2021-05-02 17:42:00+00:00
Greece,346422,,10453.0,,306498,,29471,811.0,1007.0,8165612.0,786624.0,10380577.0,2021-05-02 17:42:00+00:00
Nepal,336030,7137.0,3325.0,27.0,283994,1612.0,48711,,112.0,2504476.0,84694.0,29570715.0,2021-05-02 17:42:00+00:00
Croatia,335173,944.0,7182.0,52.0,314839,2016.0,13152,240.0,1759.0,1822875.0,446331.0,4084137.0,2021-05-02 17:42:00+00:00
Kazakhstan,325499,2804.0,3717.0,18.0,278584,1607.0,43198,221.0,196.0,10190393.0,537381.0,18963084.0,2021-05-02 17:42:00+00:00
Azerbaijan,321380,1058.0,4561.0,23.0,293689,2125.0,23130,,446.0,3262655.0,319395.0,10215094.0,2021-05-02 17:42:00+00:00
Georgia,312445,988.0,4151.0,21.0,293052,1595.0,15242,,1042.0,4218198.0,1059108.0,3982784.0,2021-05-02 17:42:00+00:00
Tunisia,310734,,10808.0,,261552,,38374,518.0,907.0,1319328.0,110670.0,11921296.0,2021-05-02 17:42:00+00:00
Bolivia,306527,933.0,13009.0,34.0,252780,1116.0,40738,71.0,1102.0,1178553.0,99834.0,11805074.0,2021-05-02 17:42:00+00:00
Palestine,297638,512.0,3272.0,15.0,275392,1117.0,18974,146.0,629.0,1748434.0,336276.0,5199404.0,2021-05-02 17:42:00+00:00
Paraguay,281023,,6476.0,,231517,,43030,512.0,899.0,1102980.0,153080.0,7205234.0,2021-05-02 17:42:00+00:00
Kuwait,275270,,1569.0,,258599,,15102,220.0,363.0,2334897.0,540119.0,4322927.0,2021-05-02 17:42:00+00:00
Dominican Republic,267455,594.0,3493.0,6.0,227924,657.0,36038,189.0,319.0,1410731.0,128972.0,10938244.0,2021-05-02 17:42:00+00:00
Ethiopia,258062,,3709.0,,200148,,54205,912.0,32.0,2584305.0,22029.0,117315204.0,2021-05-02 17:42:00+00:00
Denmark,252912,867.0,2490.0,1.0,240569,656.0,9853,37.0,429.0,38718735.0,6665098.0,5809177.0,2021-05-02 17:42:00+00:00
Moldova,251335,175.0,5838.0,12.0,240824,431.0,4673,199.0,1450.0,995385.0,247230.0,4026147.0,2021-05-02 17:42:00+00:00
