Country,TotalCases,TotalDeaths,TotalRecovered,ActiveCases,Serious,Deaths1Mpop,TotalTests,Tests1Mpop,Population,NewCases,NewDeaths,NewRecovered,NewActive,LastUpdated
World,155813264,3254877.0,133957390,18600997,110295.0,417.6,,,,1585575,26831.0,1568838,-10094,2021-05-06 00:50:00+00:00
USA,33320972,593134.0,26022594,6705244,9400.0,1783.0,453053858.0,1362003.0,332637917.0,89980,1620.0,113910,-25550,2021-05-06 00:50:00+00:00
India,21070852,230151.0,17269076,3571625,8944.0,165.0,294852078.0,211907.0,1391419959.0,788019,7743.0,655784,124492,2021-05-06 00:50:00+00:00
Brazil,14936464,414645.0,13529572,992247,8318.0,1939.0,46439030.0,217175.0,213831876.0,145030,5816.0,193096,-53882,2021-05-06 00:50:00+00:00
France,5706378,105631.0,4729418,871329,5402.0,1615.0,77308259.0,1182168.0,65395336.0,50371,501.0,73000,-23130,2021-05-06 00:50:00+00:00
Turkey,4955594,41883.0,4589501,324210,3418.0,492.0,48459224.0,569423.0,85102402.0,55473,692.0,73682,-18901,2021-05-06 00:50:00+00:00
Russia,4847489,111895.0,4464550,271044,2300.0,766.0,130200000.0,891859.0,145987270.0,7975,360.0,7506,109,2021-05-06 00:50:00+00:00
UK,4425940,127570.0,4237913,60457,181.0,1871.0,160653676.0,2356092.0,68186507.0,4090,31.0,6163,-2104,2021-05-06 00:50:00+00:00
Italy,4070400,122005.0,3541266,407129,2368.0,2020.0,59879330.0,991597.0,60386756.0,19692,572.0,35549,-16429,2021-05-06 00:50:00+00:00
Spain,3551262,78566.0,3232926,239770,2231.0,1680.0,47213067.0,1009472.0,46770061.0,10832,273.0,10229,330,2021-05-06 00:50:00+00:00
Germany,3469448,84593.0,3084700,300155,5049.0,1007.0,56836969.0,676551.0,84009837.0,33571,573.0,23200,9798,2021-05-06 00:50:00+00:00
Argentina,3071496,65865.0,2734465,271166,5342.0,1446.0,11502946.0,252563.0,45544796.0,50317,1073.0,36393,12851,2021-05-06 00:50:00+00:00
Colombia,2934611,76015.0,2754940,103656,6006.0,1481.0,15126871.0,294646.0,51339078.0,29357,851.0,33623,-5117,2021-05-06 00:50:00+00:00
Poland,2811951,68482.0,2540684,202785,2469.0,1811.0,14546443.0,384708.0,37811614.0,3899,349.0,3753,-203,2021-05-06 00:50:00+00:00
Iran,2591609,73568.0,2039427,478614,5499.0,867.0,16511987.0,194495.0,84896558.0,36022,693.0,34478,851,2021-05-06 00:50:00+00:00
Mexico,2352964,217740.0,1875211,260013,4798.0,1674.0,6678270.0,51343.0,130072243.0,3064,395.0,2836,-167,2021-05-06 00:50:00+00:00
Ukraine,2090986,45077.0,1697358,348551,177.0,1036.0,9487141.0,218037.0,43511624.0,5048,327.0,15543,-10822,2021-05-06 00:50:00+00:00
Peru,1818689,62674.0,1688091,67924,2657.0,1879.0,11348411.0,340203.0,33357747.0,4562,299.0,0,4263,2021-05-06 00:50:00+00:00
Indonesia,1691658,46349.0,1547092,98217,,168.0,14947019.0,54164.0,275956555.0,9654,400.0,11601,-2347,2021-05-06 00:50:00+00:00
Czechia,1639248,29479.0,1568630,41139,473.0,2748.0,19088160.0,1779659.0,10725740.0,2412,58.0,3149,-795,2021-05-06 00:50:00+00:00
South Africa,1588221,54557.0,1510385,23279,546.0,910.0,10773227.0,179742.0,59937240.0,3260,105.0,1827,1328,2021-05-06 00:50:00+00:00
Netherlands,1531800,17245.0,1290245,224310,808.0,1005.0,12762141.0,743418.0,17166850.0,14998,56.0,12110,2832,2021-05-06 00:50:00+00:00
Canada,1257328,24450.0,1151207,81671,1456.0,643.0,32127668.0,845005.0,38020682.0,14071,108.0,15851,-1888,2021-05-06 00:50:00+00:00
Chile,1222949,26726.0,1160945,35278,3260.0,1388.0,13303828.0,690953.0,19254323.0,7134,67.0,11150,-4083,2021-05-06 00:50:00+00:00
Iraq,1091954,15640.0,979041,97273,538.0,382.0,9524638.0,232431.0,40978427.0,11956,74.0,14490,-2608,2021-05-06 00:50:00+00:00
Philippines,1073555,17800.0,993042,62713,750.0,161.0,12037543.0,108635.0,110806740.0,5663,178.0,8832,-3347,2021-05-06 00:50:00+00:00
Romania,1060895,28616.0,1002985,29294,1121.0,1496.0,8342560.0,436117.0,19129172.0,2558,236.0,5236,-2914,2021-05-06 00:50:00+00:00
Belgium,999627,24367.0,876674,98586,795.0,2095.0,12694315.0,1091314.0,11632138.0,2731,45.0,8380,-5694,2021-05-06 00:50:00+00:00
Sweden,995595,14151.0,820831,160613,403.0,1394.0,8798383.0,866638.0,10152313.0,21991,103.0,4482,17406,2021-05-06 00:50:00+00:00
Pakistan,841636,18429.0,738727,84480,5211.0,82.0,12010519.0,53502.0,224488668.0,4113,119.0,5665,-1671,2021-05-06 00:50:00+00:00
Israel,838767,6370.0,831218,1179,91.0,693.0,14315208.0,1556409.0,9197590.0,103,1.0,182,-80,2021-05-06 00:50:00+00:00
Portugal,838102,16983.0,798414,22705,83.0,1670.0,10731329.0,1055029.0,10171594.0,645,6.0,1290,-651,2021-05-06 00:50:00+00:00
Hungary,785967,28173.0,538965,218829,511.0,2923.0,5454661.0,565858.0,9639632.0,1130,128.0,5975,-4973,2021-05-06 00:50:00+00:00
Bangladesh,767338,11755.0,698465,57118,1093.0,71.0,5560678.0,33484.0,166069827.0,3656,111.0,7303,-3758,2021-05-06 00:50:00+00:00
Jordan,716923,8988.0,696524,11411,729.0,874.0,6781275.0,659121.0,10288355.0,2750,63.0,5306,-2619,2021-05-06 00:50:00+00:00
Serbia,695875,6478.0,651260,38137,145.0,744.0,3881861.0,445800.0,8707632.0,2706,46.0,5770,-3110,2021-05-06 00:50:00+00:00
Switzerland,667380,10685.0,594764,61931,220.0,1227.0,7029684.0,807275.0,8707920.0,3428,30.0,0,3398,2021-05-06 00:50:00+00:00
Austria,626239,10311.0,595877,20051,447.0,1139.0,33241683.0,3673238.0,9049695.0,1644,20.0,2193,-569,2021-05-06 00:50:00+00:00
Japan,612360,10470.0,538946,62944,1114.0,83.0,12082418.0,95779.0,126149387.0,9498,109.0,7877,1512,2021-05-06 00:50:00+00:00
Lebanon,530217,7390.0,473114,49713,494.0,1087.0,4055483.0,596428.0,6799614.0,1760,45.0,8454,-6739,2021-05-06 00:50:00+00:00
UAE,529220,1601.0,509658,17961,,160.0,45058538.0,4509973.0,9990867.0,3653,5.0,3638,10,2021-05-06 00:50:00+00:00
Morocco,512656,9043.0,499491,4122,160.0,243.0,6301680.0,169044.0,37278402.0,744,11.0,867,-134,2021-05-06 00:50:00+00:00
Malaysia,424376,1591.0,389846,32939,328.0,49.0,9738804.0,297690.0,32714546.0,3744,17.0,2304,1423,2021-05-06 00:50:00+00:00
Saudi Arabia,422316,7018.0,405607,9691,1346.0,199.0,17238146.0,488760.0,35269120.0,2015,26.0,1905,84,2021-05-06 00:50:00+00:00
Bulgaria,407827,16773.0,344895,46159,599.0,2429.0,2556505.0,370282.0,6904204.0,2002,225.0,3727,-1950,2021-05-06 00:50:00+00:00
Ecuador,393048,18907.0,329582,44559,620.0,1058.0,1314996.0,73595.0,17868040.0,5002,142.0,0,4860,2021-05-06 00:50:00+00:00
Slovakia,384317,11886.0,365618,6813,286.0,2176.0,2691638.0,492805.0,5461874.0,1089,79.0,1358,-348,2021-05-06 00:50:00+00:00
Panama,365975,6252.0,355828,3895,105.0,1430.0,2430628.0,555979.0,4371796.0,676,8.0,641,27,2021-05-06 00:50:00+00:00
Belarus,363732,2592.0,354212,6928,,274.0,5920422.0,626719.0,9446699.0,1835,20.0,1748,67,2021-05-06 00:50:00+00:00
Nepal,359610,3475.0,289783,66352,,117.0,2558051.0,86489.0,29576449.0,16192,113.0,3768,12311,2021-05-06 00:50:00+00:00
