Country,TotalCases,TotalDeaths,TotalRecovered,ActiveCases,Serious,Deaths1Mpop,TotalTests,Tests1Mpop,Population,NewCases,NewDeaths,NewRecovered,NewActive,LastUpdated
World,155106782,3243939.0,133342134,18520709,110743.0,416.2,,,,879093,15893.0,953582,-90382,2021-05-05 14:02:00+00:00
USA,33275062,592413.0,25966427,6716222,9451.0,1781.0,451249100.0,1356599.0,332632623.0,44070,899.0,57743,-14572,2021-05-05 14:02:00+00:00
India,20665148,226188.0,16951731,3487229,8944.0,163.0,294852078.0,211913.0,1391382919.0,382315,3780.0,338439,40096,2021-05-05 14:02:00+00:00
Brazil,14860812,411854.0,13442996,1005962,8318.0,1926.0,46439030.0,217180.0,213827754.0,69378,3025.0,106520,-40167,2021-05-05 14:02:00+00:00
France,5680378,105387.0,4717083,857908,5504.0,1612.0,77243683.0,1181187.0,65394942.0,24371,257.0,60665,-36551,2021-05-05 14:02:00+00:00
Turkey,4929118,41527.0,4554037,333554,3452.0,488.0,48229733.0,566742.0,85099924.0,28997,336.0,38218,-9557,2021-05-05 14:02:00+00:00
Russia,4847489,111895.0,4464550,271044,2300.0,766.0,130200000.0,891860.0,145987100.0,7975,360.0,7506,109,2021-05-05 14:02:00+00:00
UK,4423796,127543.0,4234772,61481,185.0,1871.0,159657232.0,2341512.0,68185535.0,1946,4.0,3022,-1080,2021-05-05 14:02:00+00:00
Italy,4059821,121738.0,3524194,413889,2423.0,2016.0,59552161.0,986175.0,60386998.0,9113,305.0,18477,-9669,2021-05-05 14:02:00+00:00
Spain,3544945,78399.0,3222697,243849,2292.0,1676.0,47213067.0,1009473.0,46770012.0,4515,106.0,0,4409,2021-05-05 14:02:00+00:00
Germany,3448182,84285.0,3084700,279197,5049.0,1003.0,55490413.0,660529.0,84009107.0,12305,265.0,23200,-11160,2021-05-05 14:02:00+00:00
Argentina,3047417,65202.0,2717458,264757,5389.0,1432.0,11435298.0,251084.0,45543664.0,26238,410.0,19386,6442,2021-05-05 14:02:00+00:00
Colombia,2919805,75627.0,2737757,106421,6006.0,1473.0,15060360.0,293359.0,51337597.0,14551,463.0,16440,-2352,2021-05-05 14:02:00+00:00
Poland,2811951,68482.0,2540684,202785,2469.0,1811.0,14490193.0,383220.0,37811727.0,3899,349.0,3753,-203,2021-05-05 14:02:00+00:00
Iran,2591609,73568.0,2039427,478614,5499.0,867.0,16511987.0,194502.0,84893621.0,36022,693.0,34478,851,2021-05-05 14:02:00+00:00
Mexico,2352964,217740.0,1875211,260013,4798.0,1674.0,6678270.0,51344.0,130068544.0,3064,395.0,2836,-167,2021-05-05 14:02:00+00:00
Ukraine,2090986,45077.0,1697358,348551,177.0,1036.0,9487141.0,218033.0,43512338.0,5048,327.0,15543,-10822,2021-05-05 14:02:00+00:00
Peru,1818689,62674.0,1688091,67924,2657.0,1879.0,11348411.0,340216.0,33356492.0,4562,299.0,0,4263,2021-05-05 14:02:00+00:00
Indonesia,1691658,46349.0,1547092,98217,,168.0,14947019.0,54166.0,275948657.0,9654,400.0,11601,-2347,2021-05-05 14:02:00+00:00
Czechia,1639248,29479.0,1568630,41139,473.0,2748.0,19088160.0,1779668.0,10725686.0,2412,58.0,3149,-795,2021-05-05 14:02:00+00:00
South Africa,1586148,54511.0,1509656,21981,546.0,909.0,10739813.0,179190.0,59935197.0,1187,59.0,1098,30,2021-05-05 14:02:00+00:00
Netherlands,1531800,17245.0,1290245,224310,808.0,1005.0,12762141.0,743422.0,17166747.0,14998,56.0,12110,2832,2021-05-05 14:02:00+00:00
Canada,1249950,24396.0,1142854,82700,1456.0,642.0,32009489.0,841917.0,38019779.0,6693,54.0,7498,-859,2021-05-05 14:02:00+00:00
Chile,1219064,26696.0,1155630,36738,3303.0,1387.0,13273297.0,689383.0,19253876.0,3249,37.0,5835,-2623,2021-05-05 14:02:00+00:00
Iraq,1091954,15640.0,979041,97273,538.0,382.0,9524638.0,232445.0,40975955.0,11956,74.0,14490,-2608,2021-05-05 14:02:00+00:00
Philippines,1073555,17800.0,993042,62713,750.0,161.0,12037543.0,108639.0,110802755.0,5663,178.0,8832,-3347,2021-05-05 14:02:00+00:00
Romania,1060895,28616.0,1002985,29294,1121.0,1496.0,8342560.0,436109.0,19129521.0,2558,236.0,5236,-2914,2021-05-05 14:02:00+00:00
Belgium,999627,24367.0,876674,98586,795.0,2095.0,12694315.0,1091327.0,11632000.0,2731,45.0,8380,-5694,2021-05-05 14:02:00+00:00
Sweden,995595,14151.0,820831,160613,403.0,1394.0,8798383.0,866653.0,10152141.0,21991,103.0,4482,17406,2021-05-05 14:02:00+00:00
Pakistan,841636,18429.0,738727,84480,5211.0,82.0,12010519.0,53504.0,224476929.0,4113,119.0,5665,-1671,2021-05-05 14:02:00+00:00
Israel,838739,6369.0,831158,1212,90.0,692.0,14315208.0,1556409.0,9197590.0,75,0.0,122,-47,2021-05-05 14:02:00+00:00
Portugal,837715,16981.0,797901,22833,87.0,1669.0,10677767.0,1049755.0,10171675.0,258,4.0,777,-523,2021-05-05 14:02:00+00:00
Hungary,785967,28173.0,538965,218829,511.0,2923.0,5454661.0,565854.0,9639699.0,1130,128.0,5975,-4973,2021-05-05 14:02:00+00:00
Bangladesh,767338,11755.0,698465,57118,1093.0,71.0,5560678.0,33485.0,166065347.0,3656,111.0,7303,-3758,2021-05-05 14:02:00+00:00
Jordan,716923,8988.0,696524,11411,729.0,874.0,6781275.0,659139.0,10288079.0,2750,63.0,5306,-2619,2021-05-05 14:02:00+00:00
Serbia,695875,6478.0,651260,38137,145.0,744.0,3881861.0,445795.0,8707728.0,2706,46.0,5770,-3110,2021-05-05 14:02:00+00:00
Switzerland,667380,10676.0,594764,61940,220.0,1226.0,7029684.0,807291.0,8707747.0,3428,21.0,0,3407,2021-05-05 14:02:00+00:00
Austria,626239,10311.0,595877,20051,447.0,1139.0,33241683.0,3673295.0,9049554.0,1644,20.0,2193,-569,2021-05-05 14:02:00+00:00
Japan,612360,10470.0,538946,62944,1114.0,83.0,12082418.0,95778.0,126150440.0,9498,109.0,7877,1512,2021-05-05 14:02:00+00:00
UAE,529220,1601.0,509658,17961,,160.0,45058538.0,4510120.0,9990540.0,3653,5.0,3638,10,2021-05-05 14:02:00+00:00
Lebanon,529205,7368.0,472133,49704,513.0,1084.0,4041816.0,594411.0,6799697.0,748,23.0,7473,-6748,2021-05-05 14:02:00+00:00
Morocco,512285,9038.0,499089,4158,159.0,242.0,6292326.0,168798.0,37277207.0,373,6.0,465,-98,2021-05-05 14:02:00+00:00
Malaysia,424376,1591.0,389846,32939,328.0,49.0,9738804.0,297701.0,32713413.0,3744,17.0,2304,1423,2021-05-05 14:02:00+00:00
Saudi Arabia,422316,7018.0,405607,9691,1346.0,199.0,17238146.0,488781.0,35267638.0,2015,26.0,1905,84,2021-05-05 14:02:00+00:00
Bulgaria,406192,16609.0,342226,47357,637.0,2406.0,2541572.0,368112.0,6904346.0,367,61.0,1058,-752,2021-05-05 14:02:00+00:00
Ecuador,391242,18863.0,329582,42797,614.0,1056.0,1307198.0,73161.0,17867308.0,3196,98.0,0,3098,2021-05-05 14:02:00+00:00
Slovakia,384317,11886.0,365618,6813,286.0,2176.0,2691638.0,492806.0,5461866.0,1089,79.0,1358,-348,2021-05-05 14:02:00+00:00
Panama,365619,6248.0,355499,3872,105.0,1429.0,2421904.0,554007.0,4371610.0,320,4.0,312,4,2021-05-05 14:02:00+00:00
Belarus,363732,2592.0,354212,6928,,274.0,5920422.0,626718.0,9446708.0,1835,20.0,1748,67,2021-05-05 14:02:00+00:00
Nepal,359610,3475.0,289783,66352,,117.0,2558051.0,86494.0,29575016.0,16192,113.0,3768,12311,2021-05-05 14:02:00+00:00
Greece,349936,10668.0,315808,23460,783.0,1028.0,8210960.0,791024.0,10380162.0,1368,81.0,2622,-1335,2021-05-05 14:02:00+00:00
Croatia,339412,7315.0,319962,12135,246.0,1791.0,1846554.0,452151.0,4083931.0,2494,51.0,1341,1102,2021-05-05 14:02:00+00:00
Kazakhstan,332369,3796.0,284371,44202,221.0,200.0,10405087.0,548649.0,18964925.0,2298,34.0,2663,-399,2021-05-05 14:02:00+00:00
Azerbaijan,323841,4617.0,298949,20275,,452.0,3289864.0,322036.0,10215842.0,2043,37.0,4165,-2159,2021-05-05 14:02:00+00:00
Georgia,315913,4207.0,296532,15174,,1056.0,4263112.0,1070402.0,3982721.0,2171,24.0,1074,1073,2021-05-05 14:02:00+00:00
Tunisia,314152,11016.0,266696,36440,529.0,924.0,1333567.0,111855.0,11922309.0,1405,101.0,1966,-662,2021-05-05 14:02:00+00:00
Bolivia,308984,13035.0,254683,41266,83.0,1104.0,1195045.0,101220.0,11806380.0,0,0.0,0,0,2021-05-05 14:02:00+00:00
Palestine,299736,3317.0,279652,16767,136.0,638.0,1763038.0,339021.0,5200378.0,1533,34.0,3481,-1982,2021-05-05 14:02:00+00:00
Paraguay,286667,6722.0,237276,42669,553.0,933.0,1121160.0,155588.0,7205952.0,2214,69.0,1902,243,2021-05-05 14:02:00+00:00
Kuwait,279085,1601.0,262582,14902,207.0,370.0,2360837.0,546055.0,4323445.0,1253,11.0,1213,29,2021-05-05 14:02:00+00:00
Dominican Republic,268070,3504.0,229368,35198,204.0,320.0,1413746.0,129237.0,10939135.0,389,5.0,908,-524,2021-05-05 14:02:00+00:00
Ethiopia,259354,3772.0,202679,52903,822.0,32.0,2593729.0,22105.0,117338616.0,541,15.0,1523,-997,2021-05-05 14:02:00+00:00
Costa Rica,257980,3310.0,206319,48351,408.0,645.0,1010785.0,196914.0,5133139.0,1304,20.0,852,432,2021-05-05 14:02:00+00:00
Denmark,255470,2492.0,243013,9965,40.0,429.0,40218488.0,6923069.0,5809344.0,1797,2.0,1734,61,2021-05-05 14:02:00+00:00
Lithuania,252699,3993.0,227526,21180,202.0,1484.0,2884458.0,1072206.0,2690210.0,1249,17.0,931,301,2021-05-05 14:02:00+00:00
Moldova,251504,5869.0,241553,4082,198.0,1458.0,998125.0,247915.0,4026070.0,126,19.0,337,-230,2021-05-05 14:02:00+00:00
Ireland,250672,4908.0,233240,12524,38.0,985.0,4559235.0,914770.0,4984022.0,382,2.0,451,-71,2021-05-05 14:02:00+00:00
Slovenia,243719,4279.0,229861,9579,140.0,2058.0,1190770.0,572712.0,2079178.0,942,6.0,1032,-96,2021-05-05 14:02:00+00:00
Egypt,231803,13591.0,173341,44871,90.0,131.0,2715258.0,26121.0,103947817.0,1090,60.0,567,463,2021-05-05 14:02:00+00:00
Guatemala,230095,7606.0,207862,14627,5.0,418.0,1275566.0,70114.0,18192633.0,1224,28.0,1645,-449,2021-05-05 14:02:00+00:00
Armenia,217900,4178.0,201559,12163,,1408.0,1000909.0,337245.0,2967900.0,493,13.0,452,28,2021-05-05 14:02:00+00:00
Honduras,215833,5386.0,79350,131097,566.0,537.0,638283.0,63597.0,10036433.0,1358,19.0,57,1282,2021-05-05 14:02:00+00:00
Qatar,208232,483.0,195521,12228,308.0,172.0,1923392.0,685016.0,2807805.0,640,3.0,1422,-785,2021-05-05 14:02:00+00:00
Uruguay,206946,2861.0,179480,24605,546.0,821.0,1842851.0,528970.0,3483847.0,2826,65.0,2697,64,2021-05-05 14:02:00+00:00
Venezuela,201807,2208.0,184161,15438,317.0,78.0,3359014.0,118408.0,28368101.0,876,19.0,1404,-547,2021-05-05 14:02:00+00:00
Bosnia and Herzegovina,199882,8736.0,162273,28873,,2677.0,916879.0,280939.0,3263620.0,1421,185.0,3050,-1814,2021-05-05 14:02:00+00:00
Oman,198572,2071.0,180547,15954,281.0,397.0,1550000.0,297224.0,5214917.0,770,9.0,1372,-611,2021-05-05 14:02:00+00:00
Bahrain,181880,662.0,169852,11366,101.0,378.0,4155732.0,2373737.0,1750713.0,1418,5.0,987,426,2021-05-05 14:02:00+00:00
Libya,178927,3058.0,165058,10811,,440.0,967914.0,139277.0,6949549.0,592,11.0,862,-281,2021-05-05 14:02:00+00:00
Nigeria,165215,2063.0,155371,7781,11.0,10.0,1939165.0,9217.0,210400771.0,16,0.0,0,16,2021-05-05 14:02:00+00:00
Kenya,160904,2805.0,109217,48882,190.0,51.0,1688106.0,30827.0,54760187.0,345,24.0,140,181,2021-05-05 14:02:00+00:00
North Macedonia,152814,4992.0,134653,13169,124.0,2396.0,726409.0,348682.0,2083302.0,67,31.0,782,-746,2021-05-05 14:02:00+00:00
Myanmar,142858,3209.0,131997,7652,,59.0,2583157.0,47210.0,54716023.0,16,0.0,8,8,2021-05-05 14:02:00+00:00
Albania,131327,2402.0,112626,16299,18.0,835.0,641608.0,223156.0,2875153.0,51,3.0,834,-786,2021-05-05 14:02:00+00:00
S. Korea,124945,1847.0,114944,8154,173.0,36.0,8994069.0,175301.0,51306296.0,676,7.0,816,-147,2021-05-05 14:02:00+00:00
Estonia,123781,1183.0,114033,8565,51.0,891.0,1308681.0,985983.0,1327285.0,437,6.0,637,-206,2021-05-05 14:02:00+00:00
Algeria,122999,3289.0,85693,34017,28.0,74.0,230861.0,5186.0,44513150.0,282,9.0,159,114,2021-05-05 14:02:00+00:00
Latvia,120736,2166.0,110153,8417,84.0,1159.0,2320633.0,1241910.0,1868600.0,358,7.0,673,-322,2021-05-05 14:02:00+00:00
