Country,TotalCases,TotalDeaths,TotalRecovered,ActiveCases,Serious,Deaths1Mpop,TotalTests,Tests1Mpop,Population,NewCases,NewDeaths,NewRecovered,NewActive,LastUpdated
World,165650458,3433920.0,145938981,16277557,99709.0,440.5,,,,1383390,29735.0,1753272,-399617,2021-05-20 12:30:00+00:00
USA,33802543,601958.0,27299180,5901405,7652.0,1809.0,468945602.0,1409464.0,332712023.0,55104,1425.0,96871,-43192,2021-05-20 12:30:00+00:00
India,25772440,287156.0,22355440,3129844,8944.0,206.0,322356187.0,231588.0,1391938524.0,544470,8405.0,765437,-229372,2021-05-20 12:30:00+00:00
Brazil,15815191,441864.0,14330118,1043209,8318.0,2066.0,47073060.0,220081.0,213889584.0,154085,5002.0,177685,-28602,2021-05-20 12:30:00+00:00
France,5917397,108181.0,5188641,620575,3862.0,1654.0,81995097.0,1253731.0,65400845.0,36260,369.0,36271,-380,2021-05-20 12:30:00+00:00
Turkey,5151038,45419.0,4980516,125103,2162.0,533.0,51512691.0,605056.0,85137097.0,23490,436.0,19396,3658,2021-05-20 12:30:00+00:00
Russia,4974908,117361.0,4591770,265777,2300.0,804.0,134600000.0,921983.0,145989656.0,25335,1150.0,28516,-4331,2021-05-20 12:30:00+00:00
UK,4452527,127694.0,4284015,40818,124.0,1872.0,172256865.0,2525756.0,68200120.0,-229,10.0,4748,-4987,2021-05-20 12:30:00+00:00
Italy,4172525,124646.0,3741149,306730,1643.0,2064.0,63571711.0,1052802.0,60383369.0,9949,350.0,25760,-16161,2021-05-20 12:30:00+00:00
Germany,3627777,87405.0,3358000,182372,3708.0,1040.0,58093759.0,691427.0,84020058.0,19485,535.0,57300,-38350,2021-05-20 12:30:00+00:00
Spain,3625928,79568.0,3342024,204336,1740.0,1701.0,48928535.0,1046135.0,46770751.0,10068,136.0,8437,1495,2021-05-20 12:30:00+00:00
Argentina,3411160,72265.0,3009150,329745,5877.0,1586.0,12728157.0,279367.0,45560644.0,75195,1238.0,35883,38074,2021-05-20 12:30:00+00:00
Colombia,3161126,82743.0,2961313,117070,6582.0,1611.0,16074868.0,312985.0,51359811.0,29716,934.0,30033,-1251,2021-05-20 12:30:00+00:00
Poland,2861351,72500.0,2614020,174831,1309.0,1917.0,15335408.0,405591.0,37810035.0,6161,825.0,8317,-2981,2021-05-20 12:30:00+00:00
Iran,2804632,77994.0,2290613,436025,5081.0,918.0,18551061.0,218408.0,84937680.0,39147,772.0,48590,-10215,2021-05-20 12:30:00+00:00
Mexico,2387512,220850.0,1907538,259124,4798.0,1697.0,6886170.0,52920.0,130124027.0,4767,361.0,4044,362,2021-05-20 12:30:00+00:00
Ukraine,2170398,48899.0,1916194,205305,177.0,1124.0,9914382.0,227908.0,43501627.0,14398,715.0,51601,-37918,2021-05-20 12:30:00+00:00
Peru,1903615,67034.0,1720665,115916,2660.0,2008.0,12240660.0,366758.0,33375320.0,10281,563.0,0,9718,2021-05-20 12:30:00+00:00
Indonesia,1758898,48887.0,1621572,88439,,177.0,15833852.0,57355.0,276067124.0,14853,582.0,14961,-690,2021-05-20 12:30:00+00:00
Czechia,1656202,29967.0,1602974,23261,213.0,2794.0,22272436.0,2076394.0,10726498.0,3103,54.0,6043,-2994,2021-05-20 12:30:00+00:00
South Africa,1621362,55507.0,1528868,36987,546.0,926.0,11207305.0,186895.0,59965841.0,5877,247.0,2230,3400,2021-05-20 12:30:00+00:00
Netherlands,1610868,17488.0,1393462,199918,631.0,1019.0,13524699.0,787772.0,17168296.0,9875,32.0,15590,-5747,2021-05-20 12:30:00+00:00
Canada,1342388,25066.0,1255714,61608,1344.0,659.0,33754111.0,887488.0,38033326.0,8280,83.0,14214,-6017,2021-05-20 12:30:00+00:00
Chile,1300629,27997.0,1236581,36051,2972.0,1454.0,14076346.0,730837.0,19260593.0,8533,63.0,10735,-2265,2021-05-20 12:30:00+00:00
Philippines,1165155,19641.0,1093602,51912,1819.0,177.0,12793212.0,115397.0,110862535.0,15230,379.0,17174,-2323,2021-05-20 12:30:00+00:00
Iraq,1151557,16069.0,1061975,73513,457.0,392.0,9970564.0,243107.0,41013036.0,8632,74.0,11288,-2730,2021-05-20 12:30:00+00:00
Romania,1074297,29777.0,1029375,15145,663.0,1557.0,8784565.0,459341.0,19124290.0,2006,206.0,3076,-1276,2021-05-20 12:30:00+00:00
