StateName,TotalConfirmed,TotalRecovered,TotalDeaths,TotalActive,NewCases,NewDeaths,NewRecovered,NewActive,StateCode,UpdatedOn
Andaman and Nicobar,6426,6149,78,199,59,2,61,-4,35,2021-05-12 08:00:00-05:30
Andhra Pradesh,1322934,1118933,8899,195102,35331,192,30669,4470,28,2021-05-12 08:00:00-05:30
Arunachal Pradesh,20575,18583,68,1924,410,8,411,-9,12,2021-05-12 08:00:00-05:30
Assam,304429,261980,1838,40611,12061,162,8640,3259,18,2021-05-12 08:00:00-05:30
Bihar,612570,507041,3429,102100,21094,147,29652,-8705,10,2021-05-12 08:00:00-05:30
Chandigarh,51857,42647,585,8625,1650,17,1519,114,4,2021-05-12 08:00:00-05:30
Chhattisgarh,873060,740283,10941,121836,21584,371,25924,-4711,22,2021-05-12 08:00:00-05:30
Dadra and Nagar Haveli and Daman and Diu,9021,7914,4,1103,174,0,391,-217,26,2021-05-12 08:00:00-05:30
Delhi,1348699,1244880,20010,83809,25132,666,26889,-2423,7,2021-05-12 08:00:00-05:30
Goa,124774,90134,1804,32836,5928,125,4842,961,30,2021-05-12 08:00:00-05:30
Gujarat,703594,563133,8629,131832,22582,235,30129,-7782,24,2021-05-12 08:00:00-05:30
Haryana,640252,525345,5910,108997,24355,305,31920,-7870,6,2021-05-12 08:00:00-05:30
Himachal Pradesh,140759,102525,2002,36232,9336,117,5456,3763,2,2021-05-12 08:00:00-05:30
Jammu and Kashmir,224898,171350,2847,50701,7966,121,6392,1453,1,2021-05-12 08:00:00-05:30
Jharkhand,296895,238277,4085,54533,10552,232,14593,-4273,20,2021-05-12 08:00:00-05:30
Karnataka,2013193,1405869,19852,587472,78815,1076,54772,22967,29,2021-05-12 08:00:00-05:30
Kerala,1967405,1537138,5958,424309,64777,144,64187,446,32,2021-05-12 08:00:00-05:30
Ladakh,15564,13955,157,1452,247,2,236,9,37,2021-05-12 08:00:00-05:30
Lakshadweep,3982,2980,10,992,101,1,124,-24,31,2021-05-12 08:00:00-05:30
Maharashtra,5179929,4541391,77191,561347,78192,1342,133573,-56723,27,2021-05-12 08:00:00-05:30
Manipur,36370,30880,509,4981,1016,33,282,701,14,2021-05-12 08:00:00-05:30
Meghalaya,20579,17040,242,3297,859,14,447,398,17,2021-05-12 08:00:00-05:30
Mizoram,8035,6002,23,2010,412,2,247,163,15,2021-05-12 08:00:00-05:30
Madhya Pradesh,691232,573271,6595,111366,19469,175,16841,2453,23,2021-05-12 08:00:00-05:30
Nagaland,16552,13315,156,3081,402,16,114,272,13,2021-05-12 08:00:00-05:30
Odisha,554666,465133,2215,87318,19824,35,17270,2519,21,2021-05-12 08:00:00-05:30
Puducherry,75024,59177,1018,14829,3315,53,2467,795,34,2021-05-12 08:00:00-05:30
Punjab,459268,371494,10918,76856,17143,412,14218,2513,3,2021-05-12 08:00:00-05:30
Rajasthan,789274,577550,5994,205730,32567,329,26697,5541,8,2021-05-12 08:00:00-05:30
Sikkim,10165,7249,177,2739,287,10,175,102,11,2021-05-12 08:00:00-05:30
Tamil Nadu,1438509,1260150,16178,162181,58250,530,40086,17634,33,2021-05-12 08:00:00-05:30
Telengana,506988,444049,2803,60136,9627,64,15184,-5621,36,2021-05-12 08:00:00-05:30
Tripura,38574,34819,422,3333,882,12,287,583,16,2021-05-12 08:00:00-05:30
Uttar Pradesh,1545212,1313112,16043,216057,41722,579,59067,-17924,9,2021-05-12 08:00:00-05:30
Uttarakhand,256934,176420,4014,76500,12661,286,9989,2386,5,2021-05-12 08:00:00-05:30
West Bengal,1032740,892474,12593,127673,39581,266,37669,1646,19,2021-05-12 08:00:00-05:30
