StateName,TotalConfirmed,TotalRecovered,TotalDeaths,TotalActive,NewCases,NewDeaths,NewRecovered,NewActive,StateCode,UpdatedOn
Andaman and Nicobar,6311,6030,72,209,88,1,102,-15,35,2021-05-08 08:00:00-05:30
Andhra Pradesh,1245374,1050160,8519,186695,39142,145,22890,16107,28,2021-05-08 08:00:00-05:30
Arunachal Pradesh,19802,17849,60,1893,390,1,272,117,12,2021-05-08 08:00:00-05:30
Assam,283313,246242,1578,35493,10562,93,6238,4231,18,2021-05-08 08:00:00-05:30
Bihar,567269,449063,3139,115067,28592,152,26853,1587,10,2021-05-08 08:00:00-05:30
Chandigarh,48442,39388,549,8505,1649,17,1490,142,4,2021-05-08 08:00:00-05:30
Chhattisgarh,830117,688918,10158,131041,27474,420,25224,1830,22,2021-05-08 08:00:00-05:30
Dadra and Nagar Haveli and Daman and Diu,8596,7135,4,1457,271,0,413,-142,26,2021-05-08 08:00:00-05:30
Delhi,1292867,1183093,18739,91035,38965,676,39113,-824,7,2021-05-08 08:00:00-05:30
Goa,112462,79189,1557,31716,8064,114,4198,3752,30,2021-05-08 08:00:00-05:30
Gujarat,658036,503497,8154,146385,24609,242,26106,-1739,24,2021-05-08 08:00:00-05:30
Haryana,587682,466420,5299,115963,28707,339,25830,2538,6,2021-05-08 08:00:00-05:30
Himachal Pradesh,122906,91600,1793,29513,8119,101,4407,3611,2,2021-05-08 08:00:00-05:30
Jammu and Kashmir,206954,160035,2612,44307,10369,102,5588,4679,1,2021-05-08 08:00:00-05:30
Jharkhand,276062,211270,3615,61177,12947,269,11033,1645,20,2021-05-08 08:00:00-05:30
Karnataka,1838885,1284420,17804,536661,97839,920,47566,49353,29,2021-05-08 08:00:00-05:30
Kerala,1824856,1416177,5682,402997,80924,117,53814,26993,32,2021-05-08 08:00:00-05:30
Ladakh,15023,13471,152,1400,212,1,305,-94,37,2021-05-08 08:00:00-05:30
Lakshadweep,3629,2493,9,1127,253,2,253,-2,31,2021-05-08 08:00:00-05:30
Maharashtra,4996758,4265326,74413,657019,116216,1751,101228,13237,27,2021-05-08 08:00:00-05:30
Manipur,34333,30378,449,3506,980,15,116,849,14,2021-05-08 08:00:00-05:30
Meghalaya,18927,16262,199,2466,644,8,305,331,17,2021-05-08 08:00:00-05:30
Mizoram,7382,5459,17,1906,418,0,154,264,15,2021-05-08 08:00:00-05:30
Madhya Pradesh,649114,547447,6244,95423,24129,170,17780,6179,23,2021-05-08 08:00:00-05:30
Nagaland,15580,13025,122,2433,576,4,177,395,13,2021-05-08 08:00:00-05:30
Odisha,512400,431658,2140,78602,22759,36,15255,7468,21,2021-05-08 08:00:00-05:30
Puducherry,68373,54375,920,13078,3256,37,1858,1361,34,2021-05-08 08:00:00-05:30
Punjab,424647,344779,10144,69724,17138,319,10102,6717,3,2021-05-08 08:00:00-05:30
Rajasthan,720799,516306,5346,199147,35763,325,32974,2464,8,2021-05-08 08:00:00-05:30
Sikkim,9451,6893,160,2398,532,5,179,348,11,2021-05-08 08:00:00-05:30
Tamil Nadu,1323965,1173439,15171,135355,51363,392,43927,7044,33,2021-05-08 08:00:00-05:30
Telengana,487199,413225,2666,71308,11451,87,17183,-5819,36,2021-05-08 08:00:00-05:30
Tripura,37208,34270,405,2533,674,2,266,406,16,2021-05-08 08:00:00-05:30
Uttar Pradesh,1453679,1184688,14873,254118,54385,722,62019,-8356,9,2021-05-08 08:00:00-05:30
Uttarakhand,229993,158872,3430,67691,18159,288,9706,8165,5,2021-05-08 08:00:00-05:30
West Bengal,954282,818108,12076,124098,37647,229,35192,2226,19,2021-05-08 08:00:00-05:30
