StateName,TotalConfirmed,TotalRecovered,TotalDeaths,TotalActive,NewCases,NewDeaths,NewRecovered,NewActive,StateCode,UpdatedOn
Andaman and Nicobar,6181,5879,70,232,31,0,29,2,35,2021-05-05 08:00:00-05:30
Andhra Pradesh,1184028,1016142,8289,159597,20034,82,12207,7745,28,2021-05-05 08:00:00-05:30
Arunachal Pradesh,19192,17501,59,1632,234,0,138,96,12,2021-05-05 08:00:00-05:30
Assam,267925,237088,1430,29407,4475,41,2851,1583,18,2021-05-05 08:00:00-05:30
Bihar,523841,410484,2926,110431,14794,105,11926,2763,10,2021-05-05 08:00:00-05:30
Chandigarh,45976,37288,518,8170,780,11,542,227,4,2021-05-05 08:00:00-05:30
Chhattisgarh,787486,653542,9485,124459,15785,210,12093,3482,22,2021-05-05 08:00:00-05:30
Dadra and Nagar Haveli and Daman and Diu,8174,6564,4,1606,166,0,230,-64,26,2021-05-05 08:00:00-05:30
Delhi,1232942,1124771,17752,90419,19953,338,18788,827,7,2021-05-05 08:00:00-05:30
Goa,100902,72799,1372,26731,2814,52,1870,892,30,2021-05-05 08:00:00-05:30
Gujarat,620472,464396,7779,148297,13050,131,12121,798,24,2021-05-05 08:00:00-05:30
Haryana,543559,429950,4779,108830,15786,153,11525,4108,6,2021-05-05 08:00:00-05:30
Himachal Pradesh,110945,85713,1660,23572,3824,48,1992,1784,2,2021-05-05 08:00:00-05:30
Jammu and Kashmir,191869,152109,2458,37302,4650,37,1878,2735,1,2021-05-05 08:00:00-05:30
Jharkhand,257345,194433,3205,59707,5974,132,5810,32,20,2021-05-05 08:00:00-05:30
Karnataka,1690934,1210013,16538,464383,44631,288,24714,19629,29,2021-05-05 08:00:00-05:30
Kerala,1701979,1339257,5507,357215,37190,57,26148,10985,32,2021-05-05 08:00:00-05:30
Ladakh,14560,13035,151,1374,245,3,151,91,37,2021-05-05 08:00:00-05:30
Lakshadweep,3249,2078,6,1165,169,0,210,-41,31,2021-05-05 08:00:00-05:30
Maharashtra,4822902,4107092,71742,644068,51880,891,65934,-14945,27,2021-05-05 08:00:00-05:30
Manipur,32956,30141,424,2391,433,2,111,320,14,2021-05-05 08:00:00-05:30
Meghalaya,18014,15810,185,2019,339,0,204,135,17,2021-05-05 08:00:00-05:30
Mizoram,6794,5168,17,1609,238,0,56,182,15,2021-05-05 08:00:00-05:30
Madhya Pradesh,612666,520024,6003,86639,12236,98,11249,889,23,2021-05-05 08:00:00-05:30
Nagaland,14717,12801,118,1798,266,3,49,214,13,2021-05-05 08:00:00-05:30
Odisha,479752,410227,2088,67437,8216,15,6164,2037,21,2021-05-05 08:00:00-05:30
Puducherry,63298,51584,865,10849,1138,17,886,235,34,2021-05-05 08:00:00-05:30
Punjab,399556,327976,9645,61935,7514,173,6115,1226,3,2021-05-05 08:00:00-05:30
Rajasthan,668221,466310,4866,197045,16974,154,14146,2674,8,2021-05-05 08:00:00-05:30
Sikkim,8698,6617,151,1930,230,1,22,207,11,2021-05-05 08:00:00-05:30
Tamil Nadu,1249292,1109450,14612,125230,21228,144,19112,1972,33,2021-05-05 08:00:00-05:30
Telengana,469722,389491,2527,77704,6361,51,8126,-1816,36,2021-05-05 08:00:00-05:30
Tripura,36234,33929,400,1905,240,0,60,180,16,2021-05-05 08:00:00-05:30
Uttar Pradesh,1368183,1081817,13798,272568,25770,351,38683,-13264,9,2021-05-05 08:00:00-05:30
Uttarakhand,204051,144409,3015,56627,7028,85,5752,1191,5,2021-05-05 08:00:00-05:30
West Bengal,898533,765843,11744,120946,17639,107,16547,985,19,2021-05-05 08:00:00-05:30
