StateName,TotalConfirmed,TotalRecovered,TotalDeaths,TotalActive,NewCases,NewDeaths,NewRecovered,NewActive,StateCode,UpdatedOn
Andaman and Nicobar,6510,6213,83,214,84,5,64,15,35,2021-05-14 08:00:00-05:30
Andhra Pradesh,1366785,1156666,9077,201042,43851,178,37733,5940,28,2021-05-14 08:00:00-05:30
Arunachal Pradesh,21110,18871,72,2167,535,4,288,243,12,2021-05-14 08:00:00-05:30
Assam,315554,270079,1984,43491,11125,146,8099,2880,18,2021-05-14 08:00:00-05:30
Bihar,630185,530314,3593,96278,17615,164,23273,-5822,10,2021-05-14 08:00:00-05:30
Chandigarh,53393,44343,609,8441,1536,24,1696,-184,4,2021-05-14 08:00:00-05:30
Chhattisgarh,892331,761592,11289,119450,19271,348,21309,-2386,22,2021-05-14 08:00:00-05:30
Dadra and Nagar Haveli and Daman and Diu,9257,8197,4,1056,236,0,283,-47,26,2021-05-14 08:00:00-05:30
Delhi,1372475,1274140,20618,77717,23776,608,29260,-6092,7,2021-05-14 08:00:00-05:30
Goa,130130,95240,1937,32953,5356,133,5106,117,30,2021-05-14 08:00:00-05:30
Gujarat,725353,593666,8840,122847,21759,211,30533,-8985,24,2021-05-14 08:00:00-05:30
Haryana,665028,555650,6238,103140,24776,328,30305,-5857,6,2021-05-14 08:00:00-05:30
Himachal Pradesh,150673,108534,2131,40008,9914,129,6009,3776,2,2021-05-14 08:00:00-05:30
Jammu and Kashmir,233763,177948,2967,52848,8865,120,6598,2147,1,2021-05-14 08:00:00-05:30
Jharkhand,306248,253490,4290,48468,9353,205,15213,-6065,20,2021-05-14 08:00:00-05:30
Karnataka,2088488,1474678,20712,593098,75295,860,68809,5626,29,2021-05-14 08:00:00-05:30
Kerala,2050889,1605471,6150,439268,83484,192,68333,14959,32,2021-05-14 08:00:00-05:30
Ladakh,15916,14208,161,1547,352,4,253,95,37,2021-05-14 08:00:00-05:30
Lakshadweep,4395,3290,13,1092,413,3,310,100,31,2021-05-14 08:00:00-05:30
Maharashtra,5269292,4654731,78857,535704,89363,1666,113340,-25643,27,2021-05-14 08:00:00-05:30
Manipur,37596,31491,536,5569,1226,27,611,588,14,2021-05-14 08:00:00-05:30
Meghalaya,21576,17582,268,3726,997,26,542,429,17,2021-05-14 08:00:00-05:30
Mizoram,8377,6204,23,2150,342,0,202,140,15,2021-05-14 08:00:00-05:30
Madhya Pradesh,708621,593752,6753,108116,17389,158,20481,-3250,23,2021-05-14 08:00:00-05:30
Nagaland,17256,13528,177,3551,704,21,213,470,13,2021-05-14 08:00:00-05:30
Odisha,576297,482345,2251,91701,21631,36,17212,4383,21,2021-05-14 08:00:00-05:30
Puducherry,78973,61336,1069,16568,3949,51,2159,1739,34,2021-05-14 08:00:00-05:30
Punjab,475949,384702,11297,79950,16681,379,13208,3094,3,2021-05-14 08:00:00-05:30
Rajasthan,821525,603319,6317,211889,32251,323,25769,6159,8,2021-05-14 08:00:00-05:30
Sikkim,10623,7485,192,2946,458,15,236,207,11,2021-05-14 08:00:00-05:30
Tamil Nadu,1499485,1298945,16768,183772,60976,590,38795,21591,33,2021-05-14 08:00:00-05:30
Telengana,516404,456620,2867,56917,9416,64,12571,-3219,36,2021-05-14 08:00:00-05:30
Tripura,39606,35146,426,4034,1032,4,327,701,16,2021-05-14 08:00:00-05:30
Uttar Pradesh,1580980,1359676,16646,204658,35768,603,46564,-11399,9,2021-05-14 08:00:00-05:30
Uttarakhand,271810,189261,4245,78304,14876,231,12841,1804,5,2021-05-14 08:00:00-05:30
West Bengal,1073956,930886,12857,130213,41216,264,38412,2540,19,2021-05-14 08:00:00-05:30
