StateName,TotalConfirmed,TotalRecovered,TotalDeaths,TotalActive,NewCases,NewDeaths,NewRecovered,NewActive,StateCode,UpdatedOn
Andaman and Nicobar,6542,6225,85,232,116,7,76,33,35,2021-05-15 08:00:00-05:30
Andhra Pradesh,1388803,1175843,9173,203787,65869,274,56910,8685,28,2021-05-15 08:00:00-05:30
Arunachal Pradesh,21373,19094,77,2202,798,9,511,278,12,2021-05-15 08:00:00-05:30
Assam,319632,274247,2060,43325,15203,222,12267,2714,18,2021-05-15 08:00:00-05:30
Bihar,637679,544445,3670,89564,25109,241,37404,-12536,10,2021-05-15 08:00:00-05:30
Chandigarh,54043,45268,617,8158,2186,32,2621,-467,4,2021-05-15 08:00:00-05:30
Chhattisgarh,899925,772500,11461,115964,26865,520,32217,-5872,22,2021-05-15 08:00:00-05:30
Dadra and Nagar Haveli and Daman and Diu,9335,8404,4,927,314,0,490,-176,26,2021-05-15 08:00:00-05:30
Delhi,1380981,1288280,20907,71794,32282,897,43400,-12015,7,2021-05-15 08:00:00-05:30
Goa,132585,98200,1998,32387,7811,194,8066,-449,30,2021-05-15 08:00:00-05:30
Gujarat,735348,609031,8944,117373,31754,315,45898,-14459,24,2021-05-15 08:00:00-05:30
Haryana,675636,570227,6402,99007,35384,492,44882,-9990,6,2021-05-15 08:00:00-05:30
Himachal Pradesh,153717,111896,2198,39623,12958,196,9371,3391,2,2021-05-15 08:00:00-05:30
Jammu and Kashmir,236790,181762,3027,52001,11892,180,10412,1300,1,2021-05-15 08:00:00-05:30
Jharkhand,310024,260602,4366,45056,13129,281,22325,-9477,20,2021-05-15 08:00:00-05:30
Karnataka,2130267,1510557,21085,598625,117074,1233,104688,11153,29,2021-05-15 08:00:00-05:30
Kerala,2085583,1636790,6243,442550,118178,285,99652,18241,32,2021-05-15 08:00:00-05:30
Ladakh,16156,14439,163,1554,592,6,484,102,37,2021-05-15 08:00:00-05:30
Lakshadweep,4568,3392,13,1163,586,3,412,171,31,2021-05-15 08:00:00-05:30
Maharashtra,5309215,4707980,79552,521683,129286,2361,166589,-39664,27,2021-05-15 08:00:00-05:30
Manipur,38322,31872,552,5898,1952,43,992,917,14,2021-05-15 08:00:00-05:30
Meghalaya,22203,17909,280,4014,1624,38,869,717,17,2021-05-15 08:00:00-05:30
Mizoram,8499,6411,23,2065,464,0,409,55,15,2021-05-15 08:00:00-05:30
Madhya Pradesh,716708,605423,6841,104444,25476,246,32152,-6922,23,2021-05-15 08:00:00-05:30
Nagaland,17531,13600,190,3741,979,34,285,660,13,2021-05-15 08:00:00-05:30
Odisha,588687,491674,2273,94740,34021,58,26541,7422,21,2021-05-15 08:00:00-05:30
Puducherry,80947,62424,1099,17424,5923,81,3247,2595,34,2021-05-15 08:00:00-05:30
Punjab,483984,393148,11477,79359,24716,559,21654,2503,3,2021-05-15 08:00:00-05:30
Rajasthan,835814,616589,6472,212753,46540,478,39039,7023,8,2021-05-15 08:00:00-05:30
Sikkim,10855,7655,198,3002,690,21,406,263,11,2021-05-15 08:00:00-05:30
Tamil Nadu,1531377,1318982,17056,195339,92868,878,58832,33158,33,2021-05-15 08:00:00-05:30
Telengana,520709,462981,2896,54832,13721,93,18932,-5304,36,2021-05-15 08:00:00-05:30
Tripura,40055,35396,429,4230,1481,7,577,897,16,2021-05-15 08:00:00-05:30
Uttar Pradesh,1596627,1385855,16957,193815,51415,914,72743,-22242,9,2021-05-15 08:00:00-05:30
Uttarakhand,277585,193780,4426,79379,20651,412,17360,2879,5,2021-05-15 08:00:00-05:30
West Bengal,1094802,950017,12993,131792,62062,400,57543,4119,19,2021-05-15 08:00:00-05:30
