StateName,TotalConfirmed,TotalRecovered,TotalDeaths,TotalActive,NewCases,NewDeaths,NewRecovered,NewActive,StateCode,UpdatedOn
Andaman and Nicobar,6603,6283,88,232,93,5,70,18,35,2021-05-17 08:00:00-05:30
Andhra Pradesh,1435491,1215683,9372,210436,68706,295,59017,9394,28,2021-05-17 08:00:00-05:30
Arunachal Pradesh,21802,19461,81,2260,692,9,590,93,12,2021-05-17 08:00:00-05:30
Assam,328629,281726,2179,44724,13075,195,11647,1233,18,2021-05-17 08:00:00-05:30
Bihar,651909,572987,3832,75090,21724,239,42673,-21188,10,2021-05-17 08:00:00-05:30
Chandigarh,55367,47088,635,7644,1974,26,2745,-797,4,2021-05-17 08:00:00-05:30
Chhattisgarh,912477,797150,11734,103593,20146,445,35558,-15857,22,2021-05-17 08:00:00-05:30
Dadra and Nagar Haveli and Daman and Diu,9550,8745,4,801,293,0,548,-255,26,2021-05-17 08:00:00-05:30
Delhi,1393867,1309578,21506,62783,21392,888,35438,-14934,7,2021-05-17 08:00:00-05:30
Goa,135856,105505,2099,28252,5726,162,10265,-4701,30,2021-05-17 08:00:00-05:30
Gujarat,752619,638590,9121,104908,27266,281,44924,-17939,24,2021-05-17 08:00:00-05:30
Haryana,694427,597676,6685,90066,29399,447,42026,-13074,6,2021-05-17 08:00:00-05:30
Himachal Pradesh,160240,121007,2324,36909,9567,193,12473,-3099,2,2021-05-17 08:00:00-05:30
Jammu and Kashmir,244608,189836,3149,51623,10845,182,11888,-1225,1,2021-05-17 08:00:00-05:30
Jharkhand,315502,274483,4479,36540,9254,189,20993,-11928,20,2021-05-17 08:00:00-05:30
Karnataka,2203462,1581457,21837,600168,114974,1125,106779,7070,29,2021-05-17 08:00:00-05:30
Kerala,2147967,1700528,6428,441011,97078,278,95057,1743,32,2021-05-17 08:00:00-05:30
Ladakh,16452,14741,165,1546,536,4,533,-1,37,2021-05-17 08:00:00-05:30
Lakshadweep,4767,3633,14,1120,372,1,343,28,31,2021-05-17 08:00:00-05:30
Maharashtra,5378452,4826371,81486,470595,109160,2629,171640,-65109,27,2021-05-17 08:00:00-05:30
Manipur,39729,32674,578,6477,2133,42,1183,908,14,2021-05-17 08:00:00-05:30
Meghalaya,23332,18478,320,4534,1756,52,896,808,17,2021-05-17 08:00:00-05:30
Mizoram,8829,6687,25,2117,452,2,483,-33,15,2021-05-17 08:00:00-05:30
Madhya Pradesh,731385,629741,6992,94652,22764,239,35989,-13464,23,2021-05-17 08:00:00-05:30
Nagaland,18076,13767,209,4100,820,32,239,549,13,2021-05-17 08:00:00-05:30
Odisha,612224,514532,2313,95379,35927,62,32187,3678,21,2021-05-17 08:00:00-05:30
Puducherry,84506,65689,1151,17666,5533,82,4353,1098,34,2021-05-17 08:00:00-05:30
Punjab,497705,410332,11895,75478,21756,598,25630,-4472,3,2021-05-17 08:00:00-05:30
Rajasthan,859669,658510,6777,194382,38144,460,55191,-17507,8,2021-05-17 08:00:00-05:30
Sikkim,11410,8109,205,3096,787,13,624,150,11,2021-05-17 08:00:00-05:30
Tamil Nadu,1598216,1361204,17670,219342,98731,902,62259,35570,33,2021-05-17 08:00:00-05:30
Telengana,528823,474899,2955,50969,12419,88,18279,-5948,36,2021-05-17 08:00:00-05:30
Tripura,41151,35816,441,4894,1545,15,670,860,16,2021-05-17 08:00:00-05:30
Uttar Pradesh,1619645,1439096,17546,163003,38665,900,79420,-41655,9,2021-05-17 08:00:00-05:30
Uttarakhand,287286,203673,4811,78802,15476,566,14412,498,5,2021-05-17 08:00:00-05:30
West Bengal,1133430,988341,13284,131805,59474,427,57455,1592,19,2021-05-17 08:00:00-05:30
