StateName,TotalConfirmed,TotalRecovered,TotalDeaths,TotalActive,NewCases,NewDeaths,NewRecovered,NewActive,StateCode,UpdatedOn
Andaman and Nicobar,6223,5928,71,224,42,1,49,-8,35,2021-05-06 08:00:00-05:30
Andhra Pradesh,1206232,1027270,8374,170588,22204,85,11128,10991,28,2021-05-06 08:00:00-05:30
Arunachal Pradesh,19412,17577,59,1776,220,0,76,144,12,2021-05-06 08:00:00-05:30
Assam,272751,240004,1485,31262,4826,55,2916,1855,18,2021-05-06 08:00:00-05:30
Bihar,538677,422210,2987,113480,14836,61,11726,3049,10,2021-05-06 08:00:00-05:30
Chandigarh,46793,37898,532,8363,817,14,610,193,4,2021-05-06 08:00:00-05:30
Chhattisgarh,802643,663694,9738,129211,15157,253,10152,4752,22,2021-05-06 08:00:00-05:30
Dadra and Nagar Haveli and Daman and Diu,8325,6722,4,1599,151,0,158,-7,26,2021-05-06 08:00:00-05:30
Delhi,1253902,1143980,18063,91859,20960,311,19209,1440,7,2021-05-06 08:00:00-05:30
Goa,104398,74991,1443,27964,3496,71,2192,1233,30,2021-05-06 08:00:00-05:30
Gujarat,633427,477391,7912,148124,12955,133,12995,-173,24,2021-05-06 08:00:00-05:30
Haryana,558975,440590,4960,113425,15416,181,10640,4595,6,2021-05-06 08:00:00-05:30
Himachal Pradesh,114787,87193,1692,25902,3842,32,1480,2330,2,2021-05-06 08:00:00-05:30
Jammu and Kashmir,196585,154447,2510,39628,4716,52,2338,2326,1,2021-05-06 08:00:00-05:30
Jharkhand,263115,200237,3346,59532,5770,141,5804,-175,20,2021-05-06 08:00:00-05:30
Karnataka,1741046,1236854,16884,487308,50112,346,26841,22925,29,2021-05-06 08:00:00-05:30
Kerala,1743932,1362363,5565,376004,41953,58,23106,18789,32,2021-05-06 08:00:00-05:30
Ladakh,14811,13166,151,1494,251,0,131,120,37,2021-05-06 08:00:00-05:30
Lakshadweep,3376,2240,7,1129,127,1,162,-36,31,2021-05-06 08:00:00-05:30
Maharashtra,4880542,4164098,72662,643782,57640,920,57006,-286,27,2021-05-06 08:00:00-05:30
Manipur,33353,30262,434,2657,397,10,121,266,14,2021-05-06 08:00:00-05:30
Meghalaya,18283,15957,191,2135,269,6,147,116,17,2021-05-06 08:00:00-05:30
Mizoram,6964,5305,17,1642,170,0,137,33,15,2021-05-06 08:00:00-05:30
Madhya Pradesh,624985,529667,6074,89244,12319,71,9643,2605,23,2021-05-06 08:00:00-05:30
Nagaland,15004,12848,118,2038,287,0,47,240,13,2021-05-06 08:00:00-05:30
Odisha,489641,416403,2104,71134,9889,16,6176,3697,21,2021-05-06 08:00:00-05:30
Puducherry,65117,52517,883,11717,1819,18,933,868,34,2021-05-06 08:00:00-05:30
Punjab,407509,334677,9825,63007,7953,180,6701,1072,3,2021-05-06 08:00:00-05:30
Rajasthan,685036,483332,5021,196683,16815,155,17022,-362,8,2021-05-06 08:00:00-05:30
Sikkim,8919,6714,155,2050,221,4,97,120,11,2021-05-06 08:00:00-05:30
Tamil Nadu,1272602,1129512,14779,128311,23310,167,20062,3081,33,2021-05-06 08:00:00-05:30
Telengana,475748,396042,2579,77127,6026,52,6551,-577,36,2021-05-06 08:00:00-05:30
Tripura,36534,34004,403,2127,300,3,75,222,16,2021-05-06 08:00:00-05:30
Uttar Pradesh,1399294,1122669,14151,262474,31111,353,40852,-10094,9,2021-05-06 08:00:00-05:30
Uttarakhand,211834,149166,3142,59526,7783,127,4757,2899,5,2021-05-06 08:00:00-05:30
West Bengal,916635,782916,11847,121872,18102,103,17073,926,19,2021-05-06 08:00:00-05:30
