StateName,TotalConfirmed,TotalRecovered,TotalDeaths,TotalActive,NewCases,NewDeaths,NewRecovered,NewActive,StateCode,UpdatedOn
Andaman and Nicobar,6603,6283,88,232,61,3,58,0,35,2021-05-17 08:00:00-05:30
Andhra Pradesh,1435491,1215683,9372,210436,46688,199,39840,6649,28,2021-05-17 08:00:00-05:30
Arunachal Pradesh,21802,19461,81,2260,429,4,367,58,12,2021-05-17 08:00:00-05:30
Assam,328629,281726,2179,44724,8997,119,7479,1399,18,2021-05-17 08:00:00-05:30
Bihar,651909,572987,3832,75090,14230,162,28542,-14474,10,2021-05-17 08:00:00-05:30
Chandigarh,55367,47088,635,7644,1324,18,1820,-514,4,2021-05-17 08:00:00-05:30
Chhattisgarh,912477,797150,11734,103593,12552,273,24650,-12371,22,2021-05-17 08:00:00-05:30
Dadra and Nagar Haveli and Daman and Diu,9550,8745,4,801,215,0,341,-126,26,2021-05-17 08:00:00-05:30
Delhi,1393867,1309578,21506,62783,12886,599,21298,-9011,7,2021-05-17 08:00:00-05:30
Goa,135856,105505,2099,28252,3271,101,7305,-4135,30,2021-05-17 08:00:00-05:30
Gujarat,752619,638590,9121,104908,17271,177,29559,-12465,24,2021-05-17 08:00:00-05:30
Haryana,694427,597676,6685,90066,18791,283,27449,-8941,6,2021-05-17 08:00:00-05:30
Himachal Pradesh,160240,121007,2324,36909,6523,126,9111,-2714,2,2021-05-17 08:00:00-05:30
Jammu and Kashmir,244608,189836,3149,51623,7818,122,8074,-378,1,2021-05-17 08:00:00-05:30
Jharkhand,315502,274483,4479,36540,5478,113,13881,-8516,20,2021-05-17 08:00:00-05:30
Karnataka,2203462,1581457,21837,600168,73195,752,70900,1543,29,2021-05-17 08:00:00-05:30
Kerala,2147967,1700528,6428,441011,62384,185,63738,-1539,32,2021-05-17 08:00:00-05:30
Ladakh,16452,14741,165,1546,296,2,302,-8,37,2021-05-17 08:00:00-05:30
Lakshadweep,4767,3633,14,1120,199,1,241,-43,31,2021-05-17 08:00:00-05:30
Maharashtra,5378452,4826371,81486,470595,69237,1934,118391,-51088,27,2021-05-17 08:00:00-05:30
Manipur,39729,32674,578,6477,1407,26,802,579,14,2021-05-17 08:00:00-05:30
Meghalaya,23332,18478,320,4534,1129,40,569,520,17,2021-05-17 08:00:00-05:30
Mizoram,8829,6687,25,2117,330,2,276,52,15,2021-05-17 08:00:00-05:30
Madhya Pradesh,731385,629741,6992,94652,14677,151,24318,-9792,23,2021-05-17 08:00:00-05:30
Nagaland,18076,13767,209,4100,545,19,167,359,13,2021-05-17 08:00:00-05:30
Odisha,612224,514532,2313,95379,23537,40,22858,639,21,2021-05-17 08:00:00-05:30
Puducherry,84506,65689,1151,17666,3559,52,3265,242,34,2021-05-17 08:00:00-05:30
Punjab,497705,410332,11895,75478,13721,418,17184,-3881,3,2021-05-17 08:00:00-05:30
Rajasthan,859669,658510,6777,194382,23855,305,41921,-18371,8,2021-05-17 08:00:00-05:30
Sikkim,11410,8109,205,3096,555,7,454,94,11,2021-05-17 08:00:00-05:30
Tamil Nadu,1598216,1361204,17670,219342,66839,614,42222,24003,33,2021-05-17 08:00:00-05:30
Telengana,528823,474899,2955,50969,8114,59,11918,-3863,36,2021-05-17 08:00:00-05:30
Tripura,41151,35816,441,4894,1096,12,420,664,16,2021-05-17 08:00:00-05:30
Uttar Pradesh,1619645,1439096,17546,163003,23018,589,53241,-30812,9,2021-05-17 08:00:00-05:30
Uttarakhand,287286,203673,4811,78802,9701,385,9893,-577,5,2021-05-17 08:00:00-05:30
West Bengal,1133430,988341,13284,131805,38628,291,38324,13,19,2021-05-17 08:00:00-05:30
