StateName,TotalConfirmed,TotalRecovered,TotalDeaths,StateCode,UpdatedOn
Andaman and Nicobar,6084,5798,69,35,2021-05-03 08:00:00-05:30
Andhra Pradesh,1145022,993708,8136,28,2021-05-03 08:00:00-05:30
Arunachal Pradesh,18738,17273,59,12,2021-05-03 08:00:00-05:30
Assam,258961,231703,1360,18,2021-05-03 08:00:00-05:30
Bihar,497640,384955,2739,10,2021-05-03 08:00:00-05:30
Chandigarh,44306,36218,496,4,2021-05-03 08:00:00-05:30
Chhattisgarh,756427,627051,9009,22,2021-05-03 08:00:00-05:30
Dadra and Nagar Haveli and Daman and Diu,7871,6103,4,26,2021-05-03 08:00:00-05:30
Delhi,1194946,1085690,16966,7,2021-05-03 08:00:00-05:30
Goa,95385,69504,1274,30,2021-05-03 08:00:00-05:30
Gujarat,594602,440276,7508,24,2021-05-03 08:00:00-05:30
Haryana,514888,405132,4486,6,2021-05-03 08:00:00-05:30
Himachal Pradesh,104491,82195,1569,2,2021-05-03 08:00:00-05:30
Jammu and Kashmir,183486,148695,2370,1,2021-05-03 08:00:00-05:30
Jharkhand,244472,183009,2944,20,2021-05-03 08:00:00-05:30
Karnataka,1601865,1164398,16011,29,2021-05-03 08:00:00-05:30
Kerala,1638778,1293590,5405,32,2021-05-03 08:00:00-05:30
Ladakh,14226,12735,145,37,2021-05-03 08:00:00-05:30
Lakshadweep,3010,1759,4,31,2021-05-03 08:00:00-05:30
Maharashtra,4722401,3981658,70284,27,2021-05-03 08:00:00-05:30
Manipur,32161,29923,415,14,2021-05-03 08:00:00-05:30
Meghalaya,17429,15429,179,17,2021-05-03 08:00:00-05:30
Mizoram,6358,5046,16,15,2021-05-03 08:00:00-05:30
Madhya Pradesh,588368,495367,5812,23,2021-05-03 08:00:00-05:30
Nagaland,14350,12712,109,13,2021-05-03 08:00:00-05:30
Odisha,462622,397575,2068,21,2021-05-03 08:00:00-05:30
Puducherry,61361,49908,833,34,2021-05-03 08:00:00-05:30
Punjab,385270,315845,9317,3,2021-05-03 08:00:00-05:30
Rajasthan,633951,440215,4558,8,2021-05-03 08:00:00-05:30
Sikkim,8441,6484,149,11,2021-05-03 08:00:00-05:30
Tamil Nadu,1207112,1072322,14346,33,2021-05-03 08:00:00-05:30
Telengana,456485,373933,2417,36,2021-05-03 08:00:00-05:30
Tripura,35723,33782,399,16,2021-05-03 08:00:00-05:30
Uttar Pradesh,1313361,1004447,13162,9,2021-05-03 08:00:00-05:30
Uttarakhand,191620,135206,2802,5,2021-05-03 08:00:00-05:30
West Bengal,863393,733359,11539,19,2021-05-03 08:00:00-05:30
