StateName,TotalConfirmed,TotalRecovered,TotalDeaths,TotalActive,NewCases,NewDeaths,NewRecovered,NewActive,StateCode,UpdatedOn
Andaman and Nicobar,6367,6088,76,203,0,0,0,0,35,2021-05-10 08:00:00-05:30
Andhra Pradesh,1287603,1088264,8707,190632,0,0,0,0,28,2021-05-10 08:00:00-05:30
Arunachal Pradesh,20165,18172,60,1933,0,0,0,0,12,2021-05-10 08:00:00-05:30
Assam,292368,253340,1676,37352,0,0,0,0,18,2021-05-10 08:00:00-05:30
Bihar,591476,477389,3282,110805,0,0,0,0,10,2021-05-10 08:00:00-05:30
Chandigarh,50207,41128,568,8511,0,0,0,0,4,2021-05-10 08:00:00-05:30
Chhattisgarh,851476,714359,10570,126547,0,0,0,0,22,2021-05-10 08:00:00-05:30
Dadra and Nagar Haveli and Daman and Diu,8847,7523,4,1320,0,0,0,0,26,2021-05-10 08:00:00-05:30
Delhi,1323567,1217991,19344,86232,0,0,0,0,7,2021-05-10 08:00:00-05:30
Goa,118846,85292,1679,31875,0,0,0,0,30,2021-05-10 08:00:00-05:30
Gujarat,681012,533004,8394,139614,0,0,0,0,24,2021-05-10 08:00:00-05:30
Haryana,615897,493425,5605,116867,0,0,0,0,6,2021-05-10 08:00:00-05:30
Himachal Pradesh,131423,97069,1885,32469,0,0,0,0,2,2021-05-10 08:00:00-05:30
Jammu and Kashmir,216932,164958,2726,49248,0,0,0,0,1,2021-05-10 08:00:00-05:30
Jharkhand,286343,223684,3853,58806,0,0,0,0,20,2021-05-10 08:00:00-05:30
Karnataka,1934378,1351097,18776,564505,0,0,0,0,29,2021-05-10 08:00:00-05:30
Kerala,1902628,1472951,5814,423863,0,0,0,0,32,2021-05-10 08:00:00-05:30
Ladakh,15317,13719,155,1443,0,0,0,0,37,2021-05-10 08:00:00-05:30
Lakshadweep,3881,2856,9,1016,0,0,0,0,31,2021-05-10 08:00:00-05:30
Maharashtra,5101737,4407818,75849,618070,0,0,0,0,27,2021-05-10 08:00:00-05:30
Manipur,35354,30598,476,4280,0,0,0,0,14,2021-05-10 08:00:00-05:30
Meghalaya,19720,16593,228,2899,0,0,0,0,17,2021-05-10 08:00:00-05:30
Mizoram,7623,5755,21,1847,0,0,0,0,15,2021-05-10 08:00:00-05:30
Madhya Pradesh,671763,556430,6420,108913,0,0,0,0,23,2021-05-10 08:00:00-05:30
Nagaland,16150,13201,140,2809,0,0,0,0,13,2021-05-10 08:00:00-05:30
Odisha,534842,447863,2180,84799,0,0,0,0,21,2021-05-10 08:00:00-05:30
Puducherry,71709,56710,965,14034,0,0,0,0,34,2021-05-10 08:00:00-05:30
Punjab,442125,357276,10506,74343,0,0,0,0,3,2021-05-10 08:00:00-05:30
Rajasthan,756707,550853,5665,200189,0,0,0,0,8,2021-05-10 08:00:00-05:30
Sikkim,9878,7074,167,2637,0,0,0,0,11,2021-05-10 08:00:00-05:30
Tamil Nadu,1380259,1220064,15648,144547,0,0,0,0,33,2021-05-10 08:00:00-05:30
Telengana,497361,428865,2739,65757,0,0,0,0,36,2021-05-10 08:00:00-05:30
Tripura,37692,34532,410,2750,0,0,0,0,16,2021-05-10 08:00:00-05:30
Uttar Pradesh,1503490,1254045,15464,233981,0,0,0,0,9,2021-05-10 08:00:00-05:30
Uttarakhand,244273,166431,3728,74114,0,0,0,0,5,2021-05-10 08:00:00-05:30
West Bengal,993159,854805,12327,126027,0,0,0,0,19,2021-05-10 08:00:00-05:30
