StateName,TotalConfirmed,TotalRecovered,TotalDeaths,TotalActive,NewCases,NewDeaths,NewRecovered,NewActive,StateCode,UpdatedOn
Andaman and Nicobar,6674,6359,92,223,71,4,76,-9,35,2021-05-19 08:00:00-05:30
Andhra Pradesh,1475372,1254291,9580,211501,39881,208,38608,1065,28,2021-05-19 08:00:00-05:30
Arunachal Pradesh,22462,19977,88,2397,660,7,516,137,12,2021-05-19 08:00:00-05:30
Assam,340858,290774,2344,47740,12229,165,9048,3016,18,2021-05-19 08:00:00-05:30
Bihar,664115,595377,4039,64699,12206,207,22390,-10391,10,2021-05-19 08:00:00-05:30
Chandigarh,56513,48831,647,7035,1146,12,1743,-609,4,2021-05-19 08:00:00-05:30
Chhattisgarh,925531,823113,12036,90382,13054,302,25963,-13211,22,2021-05-19 08:00:00-05:30
Dadra and Nagar Haveli and Daman and Diu,9652,8944,4,704,102,0,199,-97,26,2021-05-19 08:00:00-05:30
Delhi,1402873,1329899,22111,50863,9006,605,20321,-11920,7,2021-05-19 08:00:00-05:30
Goa,138776,112633,2197,23946,2920,98,7128,-4306,30,2021-05-19 08:00:00-05:30
Gujarat,766201,660489,9269,96443,13582,148,21899,-8465,24,2021-05-19 08:00:00-05:30
Haryana,709689,626852,6923,75914,15262,238,29176,-14152,6,2021-05-19 08:00:00-05:30
Himachal Pradesh,166678,129330,2460,34888,6438,136,8323,-2021,2,2021-05-19 08:00:00-05:30
Jammu and Kashmir,251919,197701,3293,50925,7311,144,7865,-698,1,2021-05-19 08:00:00-05:30
Jharkhand,320934,284805,4601,31528,5432,122,10322,-5012,20,2021-05-19 08:00:00-05:30
Karnataka,2272374,1674487,22838,575049,68912,1001,93030,-25119,29,2021-05-19 08:00:00-05:30
Kerala,2200706,1846105,6612,347989,52739,184,145577,-93022,32,2021-05-19 08:00:00-05:30
Ladakh,16784,15031,170,1583,332,5,290,37,37,2021-05-19 08:00:00-05:30
Lakshadweep,5212,3915,15,1282,445,1,282,162,31,2021-05-19 08:00:00-05:30
Maharashtra,5433506,4927480,83777,422249,55054,2291,101109,-48346,27,2021-05-19 08:00:00-05:30
Manipur,40683,33466,612,6605,954,34,792,128,14,2021-05-19 08:00:00-05:30
Meghalaya,24872,19185,355,5332,1540,35,707,798,17,2021-05-19 08:00:00-05:30
Mizoram,9252,7094,29,2129,423,4,407,12,15,2021-05-19 08:00:00-05:30
Madhya Pradesh,742718,652612,7139,82967,11333,147,22871,-11685,23,2021-05-19 08:00:00-05:30
Nagaland,18714,14079,228,4407,638,19,312,307,13,2021-05-19 08:00:00-05:30
Odisha,633302,536595,2357,94350,21078,44,22063,-1029,21,2021-05-19 08:00:00-05:30
Puducherry,87749,69060,1212,17477,3243,61,3371,-189,34,2021-05-19 08:00:00-05:30
Punjab,511652,427058,12317,72277,13947,422,16726,-3201,3,2021-05-19 08:00:00-05:30
Rajasthan,879664,713129,7080,159455,19995,303,54619,-34927,8,2021-05-19 08:00:00-05:30
Sikkim,11689,8427,212,3050,279,7,318,-46,11,2021-05-19 08:00:00-05:30
Tamil Nadu,1664350,1403052,18369,242929,66134,699,41848,23587,33,2021-05-19 08:00:00-05:30
Telengana,536766,485644,3012,48110,7943,57,10745,-2859,36,2021-05-19 08:00:00-05:30
Tripura,42776,36402,450,5924,1625,9,586,1030,16,2021-05-19 08:00:00-05:30
Uttar Pradesh,1637663,1483249,18072,136342,18018,526,44153,-26661,9,2021-05-19 08:00:00-05:30
Uttarakhand,295790,214426,5132,76232,8504,321,10753,-2570,5,2021-05-19 08:00:00-05:30
West Bengal,1171861,1026492,13576,131793,38431,292,38151,-12,19,2021-05-19 08:00:00-05:30
