StateName,TotalConfirmed,TotalRecovered,TotalDeaths,TotalActive,NewCases,NewDeaths,NewRecovered,NewActive,StateCode,UpdatedOn
Andaman and Nicobar,6426,6149,78,199,0,0,0,0,35,2021-05-12 08:00:00-05:30
Andhra Pradesh,1322934,1118933,8899,195102,0,0,0,0,28,2021-05-12 08:00:00-05:30
Arunachal Pradesh,20575,18583,68,1924,0,0,0,0,12,2021-05-12 08:00:00-05:30
Assam,304429,261980,1838,40611,0,0,0,0,18,2021-05-12 08:00:00-05:30
Bihar,612570,507041,3429,102100,0,0,0,0,10,2021-05-12 08:00:00-05:30
Chandigarh,51857,42647,585,8625,0,0,0,0,4,2021-05-12 08:00:00-05:30
Chhattisgarh,873060,740283,10941,121836,0,0,0,0,22,2021-05-12 08:00:00-05:30
Dadra and Nagar Haveli and Daman and Diu,9021,7914,4,1103,0,0,0,0,26,2021-05-12 08:00:00-05:30
Delhi,1348699,1244880,20010,83809,0,0,0,0,7,2021-05-12 08:00:00-05:30
Goa,124774,90134,1804,32836,0,0,0,0,30,2021-05-12 08:00:00-05:30
Gujarat,703594,563133,8629,131832,0,0,0,0,24,2021-05-12 08:00:00-05:30
Haryana,640252,525345,5910,108997,0,0,0,0,6,2021-05-12 08:00:00-05:30
Himachal Pradesh,140759,102525,2002,36232,0,0,0,0,2,2021-05-12 08:00:00-05:30
Jammu and Kashmir,224898,171350,2847,50701,0,0,0,0,1,2021-05-12 08:00:00-05:30
Jharkhand,296895,238277,4085,54533,0,0,0,0,20,2021-05-12 08:00:00-05:30
Karnataka,2013193,1405869,19852,587472,0,0,0,0,29,2021-05-12 08:00:00-05:30
Kerala,1967405,1537138,5958,424309,0,0,0,0,32,2021-05-12 08:00:00-05:30
Ladakh,15564,13955,157,1452,0,0,0,0,37,2021-05-12 08:00:00-05:30
Lakshadweep,3982,2980,10,992,0,0,0,0,31,2021-05-12 08:00:00-05:30
Maharashtra,5179929,4541391,77191,561347,0,0,0,0,27,2021-05-12 08:00:00-05:30
Manipur,36370,30880,509,4981,0,0,0,0,14,2021-05-12 08:00:00-05:30
Meghalaya,20579,17040,242,3297,0,0,0,0,17,2021-05-12 08:00:00-05:30
Mizoram,8035,6002,23,2010,0,0,0,0,15,2021-05-12 08:00:00-05:30
Madhya Pradesh,691232,573271,6595,111366,0,0,0,0,23,2021-05-12 08:00:00-05:30
Nagaland,16552,13315,156,3081,0,0,0,0,13,2021-05-12 08:00:00-05:30
Odisha,554666,465133,2215,87318,0,0,0,0,21,2021-05-12 08:00:00-05:30
Puducherry,75024,59177,1018,14829,0,0,0,0,34,2021-05-12 08:00:00-05:30
Punjab,459268,371494,10918,76856,0,0,0,0,3,2021-05-12 08:00:00-05:30
Rajasthan,789274,577550,5994,205730,0,0,0,0,8,2021-05-12 08:00:00-05:30
Sikkim,10165,7249,177,2739,0,0,0,0,11,2021-05-12 08:00:00-05:30
Tamil Nadu,1438509,1260150,16178,162181,0,0,0,0,33,2021-05-12 08:00:00-05:30
Telengana,506988,444049,2803,60136,0,0,0,0,36,2021-05-12 08:00:00-05:30
Tripura,38574,34819,422,3333,0,0,0,0,16,2021-05-12 08:00:00-05:30
Uttar Pradesh,1545212,1313112,16043,216057,0,0,0,0,9,2021-05-12 08:00:00-05:30
Uttarakhand,256934,176420,4014,76500,0,0,0,0,5,2021-05-12 08:00:00-05:30
West Bengal,1032740,892474,12593,127673,0,0,0,0,19,2021-05-12 08:00:00-05:30
