StateName,TotalConfirmed,TotalRecovered,TotalDeaths,TotalActive,NewCases,NewDeaths,NewRecovered,NewActive,StateCode,UpdatedOn
Andaman and Nicobar,6709,6385,95,229,106,7,102,-3,35,2021-05-20 08:00:00-05:30
Andhra Pradesh,1498532,1279110,9686,209736,63041,314,63427,-700,28,2021-05-20 08:00:00-05:30
Arunachal Pradesh,22799,20125,89,2585,997,8,664,325,12,2021-05-20 08:00:00-05:30
Assam,347001,294831,2433,49737,18372,254,13105,5013,18,2021-05-20 08:00:00-05:30
Bihar,670174,607420,4143,58611,18265,311,34433,-16479,10,2021-05-20 08:00:00-05:30
Chandigarh,56927,49701,656,6570,1560,21,2613,-1074,4,2021-05-20 08:00:00-05:30
Chhattisgarh,931211,833161,12182,85868,18734,448,36011,-17725,22,2021-05-20 08:00:00-05:30
Dadra and Nagar Haveli and Daman and Diu,9748,9088,4,656,198,0,343,-145,26,2021-05-20 08:00:00-05:30
Delhi,1406719,1339326,22346,45047,12852,840,29748,-17736,7,2021-05-20 08:00:00-05:30
Goa,139985,114793,2228,22964,4129,129,9288,-5288,30,2021-05-20 08:00:00-05:30
Gujarat,771447,669490,9340,92617,18828,219,30900,-12291,24,2021-05-20 08:00:00-05:30
Haryana,716507,638673,7076,70758,22080,391,40997,-19308,6,2021-05-20 08:00:00-05:30
Himachal Pradesh,170074,132421,2529,35124,9834,205,11414,-1785,2,2021-05-20 08:00:00-05:30
Jammu and Kashmir,255888,202039,3355,50494,11280,206,12203,-1129,1,2021-05-20 08:00:00-05:30
Jharkhand,322828,289333,4654,28841,7326,175,14850,-7699,20,2021-05-20 08:00:00-05:30
Karnataka,2306655,1724438,23306,558911,103193,1469,142981,-41257,29,2021-05-20 08:00:00-05:30
Kerala,2233468,1894518,6724,332226,85501,296,193990,-108785,32,2021-05-20 08:00:00-05:30
Ladakh,16918,15158,171,1589,466,6,417,43,37,2021-05-20 08:00:00-05:30
Lakshadweep,5466,3974,18,1474,699,4,341,354,31,2021-05-20 08:00:00-05:30
Maharashtra,5467537,4978937,84371,404229,89085,2885,152566,-66366,27,2021-05-20 08:00:00-05:30
Manipur,41265,33813,635,6817,1536,57,1139,340,14,2021-05-20 08:00:00-05:30
Meghalaya,25744,19596,379,5769,2412,59,1118,1235,17,2021-05-20 08:00:00-05:30
Mizoram,9444,7271,30,2143,615,5,584,26,15,2021-05-20 08:00:00-05:30
Madhya Pradesh,747783,662949,7227,77607,16398,235,33208,-17045,23,2021-05-20 08:00:00-05:30
Nagaland,18958,14298,234,4426,882,25,531,326,13,2021-05-20 08:00:00-05:30
Odisha,644401,546631,2378,95392,32177,65,32099,13,21,2021-05-20 08:00:00-05:30
Puducherry,89508,70615,1241,17652,5002,90,4926,-14,34,2021-05-20 08:00:00-05:30
Punjab,517954,434930,12525,70499,20249,630,24598,-4979,3,2021-05-20 08:00:00-05:30
Rajasthan,889513,729168,7219,153126,29844,442,70658,-41256,8,2021-05-20 08:00:00-05:30
Sikkim,11955,8649,214,3092,545,9,540,-4,11,2021-05-20 08:00:00-05:30
Tamil Nadu,1699225,1426915,18734,253576,101009,1064,65711,34234,33,2021-05-20 08:00:00-05:30
Telengana,540603,490620,3037,46946,11780,82,15721,-4023,36,2021-05-20 08:00:00-05:30
Tripura,43496,36718,453,6325,2345,12,902,1431,16,2021-05-20 08:00:00-05:30
Uttar Pradesh,1644849,1502918,18352,123579,25204,806,63822,-39424,9,2021-05-20 08:00:00-05:30
Uttarakhand,300282,221785,5325,73172,12996,514,18112,-5630,5,2021-05-20 08:00:00-05:30
West Bengal,1190867,1045643,13733,131491,57437,449,57302,-314,19,2021-05-20 08:00:00-05:30
